slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612737,1713,Shot Chart Detail,Vince Carter,Atlanta Hawks,Missed Shot,Jump Shot,3PT Field Goal,20181017,NYK,ATL,21800007,9,1,11,2019,Above the Break 3,Center,C,24+ ft.,74,266,44,27,TRUE,FALSE
2018-19,1610612737,1627752,Shot Chart Detail,Taurean Prince,Atlanta Hawks,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,15,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,3,22,10,2,TRUE,FALSE
2018-19,1610612737,203145,Shot Chart Detail,Kent Bazemore,Atlanta Hawks,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,23,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,9,20,45,2,TRUE,FALSE
2018-19,1610612737,203458,Shot Chart Detail,Alex Len,Atlanta Hawks,Made Shot,Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,43,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,0,8,31,0,TRUE,TRUE
2018-19,1610612737,203145,Shot Chart Detail,Kent Bazemore,Atlanta Hawks,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,NYK,ATL,21800007,48,1,9,2019,Above the Break 3,Center,C,24+ ft.,-67,241,7,25,TRUE,FALSE
2018-19,1610612737,203458,Shot Chart Detail,Alex Len,Atlanta Hawks,Made Shot,Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,52,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,20,-4,47,2,TRUE,TRUE
2018-19,1610612737,1627816,Shot Chart Detail,Alex Poythress,Atlanta Hawks,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,61,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-4,11,30,1,TRUE,TRUE
2018-19,1610612737,1627752,Shot Chart Detail,Taurean Prince,Atlanta Hawks,Made Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,NYK,ATL,21800007,65,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-10,75,8,7,TRUE,TRUE
2018-19,1610612737,1627752,Shot Chart Detail,Taurean Prince,Atlanta Hawks,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,NYK,ATL,21800007,69,1,7,2019,Mid-Range,Center,C,8-16 ft.,44,153,35,15,TRUE,FALSE
2018-19,1610612737,1627752,Shot Chart Detail,Taurean Prince,Atlanta Hawks,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,NYK,ATL,21800007,77,1,6,2019,Mid-Range,Left Side,L,16-24 ft.,-160,-8,54,16,TRUE,FALSE
