slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,10,1,11,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-148,207,15,25,TRUE,FALSE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Missed Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,14,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,4,18,3,1,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Missed Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,19,1,10,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-46,1,36,4,TRUE,FALSE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,23,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-14,15,22,2,TRUE,FALSE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Missed Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,27,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-7,8,6,1,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,38,1,9,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-63,138,19,15,TRUE,TRUE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Step Back Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,46,1,8,2019,Mid-Range,Center,C,16-24 ft.,-11,175,34,17,TRUE,FALSE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Made Shot,Jump Shot,2PT Field Goal,20181016,BOS,PHI,21800001,48,1,8,2019,Mid-Range,Left Side,L,8-16 ft.,-123,22,28,12,TRUE,TRUE
2018-19,1610612738,201143,Shot Chart Detail,Al Horford,Boston Celtics,Missed Shot,Step Back Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,53,1,7,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,43,68,56,8,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Made Shot,Step Back Jump shot,3PT Field Goal,20181016,BOS,PHI,21800001,56,1,7,2019,Left Corner 3,Left Side,L,24+ ft.,-240,50,26,24,TRUE,TRUE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,59,1,7,2019,Above the Break 3,Right Side Center,RC,24+ ft.,185,173,4,25,TRUE,FALSE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Missed Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,63,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,4,17,51,1,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,79,1,6,2019,Mid-Range,Center,C,16-24 ft.,-44,183,10,18,TRUE,TRUE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Made Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,88,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-9,11,41,1,TRUE,TRUE
2018-19,1610612738,1626179,Shot Chart Detail,Terry Rozier,Boston Celtics,Missed Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,99,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,2,16,56,1,TRUE,FALSE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,103,1,4,2019,Above the Break 3,Right Side Center,RC,24+ ft.,179,188,38,25,TRUE,FALSE
2018-19,1610612738,202694,Shot Chart Detail,Marcus Morris,Boston Celtics,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,112,1,4,2019,Mid-Range,Right Side Center,RC,16-24 ft.,124,147,10,19,TRUE,TRUE
2018-19,1610612738,201143,Shot Chart Detail,Al Horford,Boston Celtics,Made Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,114,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,24,-1,47,2,TRUE,TRUE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,126,1,3,2019,Left Corner 3,Left Side,L,24+ ft.,-242,-11,6,24,TRUE,FALSE
2018-19,1610612738,1626179,Shot Chart Detail,Terry Rozier,Boston Celtics,Made Shot,Running Alley Oop Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,130,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,-17,7,53,1,TRUE,TRUE
2018-19,1610612738,202694,Shot Chart Detail,Marcus Morris,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,140,1,2,2019,Left Corner 3,Left Side,L,24+ ft.,-237,74,33,24,TRUE,FALSE
2018-19,1610612738,1626179,Shot Chart Detail,Terry Rozier,Boston Celtics,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,143,1,2,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-111,159,11,19,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Missed Shot,Jump Shot,2PT Field Goal,20181016,BOS,PHI,21800001,155,1,1,2019,Mid-Range,Left Side,L,16-24 ft.,-198,91,17,21,TRUE,FALSE
2018-19,1610612738,203382,Shot Chart Detail,Aron Baynes,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,163,1,0,2019,Above the Break 3,Right Side Center,RC,24+ ft.,86,239,37,25,TRUE,FALSE
2018-19,1610612738,203382,Shot Chart Detail,Aron Baynes,Boston Celtics,Missed Shot,Turnaround Hook Shot,2PT Field Goal,20181016,BOS,PHI,21800001,166,1,0,2019,Restricted Area,Center,C,Less Than 8 ft.,36,14,4,3,TRUE,FALSE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,176,2,11,2019,Mid-Range,Right Side,R,8-16 ft.,86,102,50,13,TRUE,TRUE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Missed Shot,Step Back Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,179,2,11,2019,Mid-Range,Right Side,R,8-16 ft.,92,32,19,9,TRUE,FALSE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Made Shot,Jump Shot,2PT Field Goal,20181016,BOS,PHI,21800001,181,2,11,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-115,144,13,18,TRUE,TRUE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,190,2,10,2019,Mid-Range,Right Side,R,8-16 ft.,82,47,41,9,TRUE,FALSE
2018-19,1610612738,203935,Shot Chart Detail,Marcus Smart,Boston Celtics,Made Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,192,2,10,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-225,116,37,25,TRUE,TRUE
2018-19,1610612738,203935,Shot Chart Detail,Marcus Smart,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,202,2,9,2019,Above the Break 3,Right Side Center,RC,24+ ft.,173,214,56,27,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Made Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,206,2,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-18,-3,42,1,TRUE,TRUE
2018-19,1610612738,203382,Shot Chart Detail,Aron Baynes,Boston Celtics,Missed Shot,Cutting Dunk Shot,2PT Field Goal,20181016,BOS,PHI,21800001,216,2,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-17,20,14,2,TRUE,FALSE
2018-19,1610612738,1626179,Shot Chart Detail,Terry Rozier,Boston Celtics,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,219,2,8,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-67,181,49,19,TRUE,TRUE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,227,2,7,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-54,137,52,14,TRUE,FALSE
2018-19,1610612738,1628369,Shot Chart Detail,Jayson Tatum,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,231,2,7,2019,Right Corner 3,Right Side,R,24+ ft.,227,29,28,22,TRUE,FALSE
2018-19,1610612738,202330,Shot Chart Detail,Gordon Hayward,Boston Celtics,Missed Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,235,2,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-3,15,44,1,TRUE,FALSE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,256,2,5,2019,Mid-Range,Right Side,R,8-16 ft.,105,20,59,10,TRUE,FALSE
2018-19,1610612738,201143,Shot Chart Detail,Al Horford,Boston Celtics,Made Shot,Alley Oop Layup shot,2PT Field Goal,20181016,BOS,PHI,21800001,271,2,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,11,7,1,TRUE,TRUE
2018-19,1610612738,202694,Shot Chart Detail,Marcus Morris,Boston Celtics,Made Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,275,2,4,2019,Above the Break 3,Right Side Center,RC,24+ ft.,204,128,33,24,TRUE,TRUE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,287,2,3,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,31,26,54,4,TRUE,FALSE
2018-19,1610612738,1627759,Shot Chart Detail,Jaylen Brown,Boston Celtics,Missed Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,293,2,3,2019,Restricted Area,Center,C,Less Than 8 ft.,31,-6,39,3,TRUE,FALSE
2018-19,1610612738,203935,Shot Chart Detail,Marcus Smart,Boston Celtics,Made Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,300,2,3,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-131,247,21,27,TRUE,TRUE
2018-19,1610612738,202681,Shot Chart Detail,Kyrie Irving,Boston Celtics,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,304,2,3,2019,Above the Break 3,Right Side Center,RC,24+ ft.,136,216,0,25,TRUE,FALSE
2018-19,1610612738,201143,Shot Chart Detail,Al Horford,Boston Celtics,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,308,2,2,2019,Restricted Area,Center,C,Less Than 8 ft.,-9,7,24,1,TRUE,TRUE
