slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612751,1628386,Shot Chart Detail,Jarrett Allen,Brooklyn Nets,Made Shot,Dunk Shot,2PT Field Goal,20181017,DET,BKN,21800004,14,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,-5,2,28,0,TRUE,TRUE
2018-19,1610612751,1627747,Shot Chart Detail,Caris LeVert,Brooklyn Nets,Missed Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,18,1,11,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-71,26,10,7,TRUE,FALSE
2018-19,1610612751,1628386,Shot Chart Detail,Jarrett Allen,Brooklyn Nets,Missed Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,23,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,26,3,50,2,TRUE,FALSE
2018-19,1610612751,1626156,Shot Chart Detail,D'Angelo Russell,Brooklyn Nets,Missed Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,25,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-17,12,38,2,TRUE,FALSE
2018-19,1610612751,1626156,Shot Chart Detail,D'Angelo Russell,Brooklyn Nets,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,DET,BKN,21800004,28,1,10,2019,Mid-Range,Right Side,R,8-16 ft.,89,110,30,14,TRUE,TRUE
2018-19,1610612751,1627747,Shot Chart Detail,Caris LeVert,Brooklyn Nets,Made Shot,Dunk Shot,2PT Field Goal,20181017,DET,BKN,21800004,31,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,0,14,5,1,TRUE,TRUE
2018-19,1610612751,1628386,Shot Chart Detail,Jarrett Allen,Brooklyn Nets,Made Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,36,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-25,25,28,3,TRUE,TRUE
2018-19,1610612751,203925,Shot Chart Detail,Joe Harris,Brooklyn Nets,Missed Shot,Jump Shot,3PT Field Goal,20181017,DET,BKN,21800004,41,1,9,2019,Above the Break 3,Right Side Center,RC,24+ ft.,101,260,4,27,TRUE,FALSE
2018-19,1610612751,1627747,Shot Chart Detail,Caris LeVert,Brooklyn Nets,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,47,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-38,11,42,3,TRUE,TRUE
2018-19,1610612751,201162,Shot Chart Detail,Jared Dudley,Brooklyn Nets,Missed Shot,Jump Shot,3PT Field Goal,20181017,DET,BKN,21800004,51,1,8,2019,Above the Break 3,Right Side Center,RC,24+ ft.,158,222,21,27,TRUE,FALSE
2018-19,1610612751,203925,Shot Chart Detail,Joe Harris,Brooklyn Nets,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,64,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-16,19,36,2,TRUE,TRUE
2018-19,1610612751,1628386,Shot Chart Detail,Jarrett Allen,Brooklyn Nets,Missed Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,67,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-12,12,55,1,TRUE,FALSE
2018-19,1610612751,1626156,Shot Chart Detail,D'Angelo Russell,Brooklyn Nets,Missed Shot,Jump Shot,3PT Field Goal,20181017,DET,BKN,21800004,77,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,113,246,19,27,TRUE,FALSE
2018-19,1610612751,1627747,Shot Chart Detail,Caris LeVert,Brooklyn Nets,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,DET,BKN,21800004,81,1,5,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,8,71,45,7,TRUE,TRUE
2018-19,1610612751,1626156,Shot Chart Detail,D'Angelo Russell,Brooklyn Nets,Missed Shot,Jump Shot,2PT Field Goal,20181017,DET,BKN,21800004,84,1,5,2019,Mid-Range,Right Side,R,8-16 ft.,93,69,13,11,TRUE,FALSE
