slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612766,201587,Shot Chart Detail,Nicolas Batum,Charlotte Hornets,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,12,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,8,8,35,1,TRUE,FALSE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Made Shot,Jump Shot,2PT Field Goal,20181017,CHA,MIL,21800003,15,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,55,116,18,12,TRUE,TRUE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,18,1,10,2019,Above the Break 3,Right Side Center,RC,24+ ft.,81,237,51,25,TRUE,FALSE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,23,1,10,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-97,232,18,25,TRUE,TRUE
2018-19,1610612766,101107,Shot Chart Detail,Marvin Williams,Charlotte Hornets,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,27,1,9,2019,Left Corner 3,Left Side,L,24+ ft.,-227,11,42,22,TRUE,FALSE
2018-19,1610612766,203087,Shot Chart Detail,Jeremy Lamb,Charlotte Hornets,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,32,1,9,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-122,215,24,24,TRUE,TRUE
2018-19,1610612766,203469,Shot Chart Detail,Cody Zeller,Charlotte Hornets,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,36,1,8,2019,Above the Break 3,Center,C,24+ ft.,38,255,55,25,TRUE,TRUE
2018-19,1610612766,203087,Shot Chart Detail,Jeremy Lamb,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,49,1,8,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-87,156,16,17,TRUE,FALSE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,57,1,7,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-63,136,34,14,TRUE,FALSE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,61,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-15,5,18,1,TRUE,FALSE
2018-19,1610612766,203087,Shot Chart Detail,Jeremy Lamb,Charlotte Hornets,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,65,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-166,182,4,24,TRUE,FALSE
2018-19,1610612766,201587,Shot Chart Detail,Nicolas Batum,Charlotte Hornets,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,68,1,6,2019,Above the Break 3,Center,C,24+ ft.,29,255,26,25,TRUE,FALSE
2018-19,1610612766,201587,Shot Chart Detail,Nicolas Batum,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,74,1,5,2019,Mid-Range,Right Side Center,RC,16-24 ft.,123,127,51,17,TRUE,FALSE
2018-19,1610612766,203087,Shot Chart Detail,Jeremy Lamb,Charlotte Hornets,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,78,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-14,9,32,1,TRUE,FALSE
2018-19,1610612766,203077,Shot Chart Detail,Michael Kidd-Gilchrist,Charlotte Hornets,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,98,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,1,16,57,1,TRUE,TRUE
2018-19,1610612766,203077,Shot Chart Detail,Michael Kidd-Gilchrist,Charlotte Hornets,Missed Shot,Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,106,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,9,11,56,1,TRUE,FALSE
2018-19,1610612766,1628370,Shot Chart Detail,Malik Monk,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,115,1,3,2019,Mid-Range,Center,C,16-24 ft.,-36,182,28,18,TRUE,FALSE
2018-19,1610612766,2225,Shot Chart Detail,Tony Parker,Charlotte Hornets,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,127,1,3,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-129,124,6,17,TRUE,TRUE
2018-19,1610612766,1626195,Shot Chart Detail,Willy Hernangomez,Charlotte Hornets,Made Shot,Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,133,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,-10,3,33,1,TRUE,TRUE
2018-19,1610612766,2225,Shot Chart Detail,Tony Parker,Charlotte Hornets,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,137,1,2,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-102,130,19,16,TRUE,TRUE
2018-19,1610612766,2225,Shot Chart Detail,Tony Parker,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,139,1,1,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-106,157,38,18,TRUE,FALSE
2018-19,1610612766,1628370,Shot Chart Detail,Malik Monk,Charlotte Hornets,Made Shot,Floating Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,149,1,1,2019,In The Paint (Non-RA),Center,C,8-16 ft.,32,126,13,13,TRUE,TRUE
2018-19,1610612766,202689,Shot Chart Detail,Kemba Walker,Charlotte Hornets,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,156,1,0,2019,Above the Break 3,Right Side Center,RC,24+ ft.,100,230,32,25,TRUE,FALSE
2018-19,1610612766,1626195,Shot Chart Detail,Willy Hernangomez,Charlotte Hornets,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,160,1,0,2019,Above the Break 3,Center,C,24+ ft.,36,252,22,25,TRUE,FALSE
2018-19,1610612766,1628970,Shot Chart Detail,Miles Bridges,Charlotte Hornets,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,174,2,11,2019,Above the Break 3,Center,C,24+ ft.,63,256,45,26,TRUE,FALSE
2018-19,1610612766,1628370,Shot Chart Detail,Malik Monk,Charlotte Hornets,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,178,2,11,2019,Mid-Range,Right Side Center,RC,16-24 ft.,112,166,21,20,TRUE,FALSE
2018-19,1610612766,1628370,Shot Chart Detail,Malik Monk,Charlotte Hornets,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,199,2,9,2019,Above the Break 3,Right Side Center,RC,24+ ft.,172,189,58,25,TRUE,TRUE
2018-19,1610612766,2225,Shot Chart Detail,Tony Parker,Charlotte Hornets,Made Shot,Running Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,205,2,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-15,-5,26,1,TRUE,TRUE
2018-19,1610612766,2225,Shot Chart Detail,Tony Parker,Charlotte Hornets,Missed Shot,Running Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,208,2,8,2019,Restricted Area,Center,C,Less Than 8 ft.,9,8,58,1,TRUE,FALSE
