slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,7,1,11,2019,Above the Break 3,Center,C,24+ ft.,-13,258,44,25,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Missed Shot,Pullup Jump shot,3PT Field Goal,20181018,PHI,CHI,21800014,13,1,11,2019,Above the Break 3,Right Side Center,RC,24+ ft.,119,223,13,25,TRUE,FALSE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Driving Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,17,1,10,2019,In The Paint (Non-RA),Center,C,8-16 ft.,8,96,47,9,TRUE,TRUE
2018-19,1610612741,1626166,Shot Chart Detail,Cameron Payne,Chicago Bulls,Missed Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,21,1,10,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-9,121,20,12,TRUE,FALSE
2018-19,1610612741,1628976,Shot Chart Detail,Wendell Carter Jr.,Chicago Bulls,Missed Shot,Turnaround Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,29,1,9,2019,Mid-Range,Left Side,L,8-16 ft.,-88,22,48,9,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,35,1,9,2019,Above the Break 3,Center,C,24+ ft.,-51,251,29,25,TRUE,TRUE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,39,1,9,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-175,196,12,26,TRUE,FALSE
2018-19,1610612741,1628976,Shot Chart Detail,Wendell Carter Jr.,Chicago Bulls,Missed Shot,Layup Shot,2PT Field Goal,20181018,PHI,CHI,21800014,43,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-24,5,49,2,TRUE,FALSE
2018-19,1610612741,1628976,Shot Chart Detail,Wendell Carter Jr.,Chicago Bulls,Made Shot,Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,46,1,8,2019,Mid-Range,Center,C,16-24 ft.,25,159,42,16,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Driving Bank Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,49,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-40,-1,10,4,TRUE,TRUE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,62,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-149,222,38,26,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,65,1,7,2019,Mid-Range,Center,C,16-24 ft.,-34,214,3,21,TRUE,TRUE
2018-19,1610612741,1628976,Shot Chart Detail,Wendell Carter Jr.,Chicago Bulls,Made Shot,Floating Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,75,1,6,2019,Mid-Range,Left Side,L,8-16 ft.,-89,-15,35,9,TRUE,TRUE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Turnaround Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,79,1,6,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,48,-9,0,4,TRUE,TRUE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,85,1,5,2019,Left Corner 3,Left Side,L,24+ ft.,-234,-4,39,23,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Running Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,89,1,5,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-16,41,12,4,TRUE,TRUE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,96,1,4,2019,Above the Break 3,Right Side Center,RC,24+ ft.,150,210,49,25,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,20181018,PHI,CHI,21800014,100,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,6,0,12,0,TRUE,TRUE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Made Shot,Driving Layup Shot,2PT Field Goal,20181018,PHI,CHI,21800014,103,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,14,7,54,1,TRUE,TRUE
2018-19,1610612741,201577,Shot Chart Detail,Robin Lopez,Chicago Bulls,Made Shot,Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,112,1,3,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-89,158,10,18,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Made Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,126,1,2,2019,Mid-Range,Right Side,R,8-16 ft.,81,97,46,12,TRUE,TRUE
2018-19,1610612741,201577,Shot Chart Detail,Robin Lopez,Chicago Bulls,Missed Shot,Driving Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,135,1,2,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,78,6,11,7,TRUE,FALSE
2018-19,1610612741,203953,Shot Chart Detail,Jabari Parker,Chicago Bulls,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20181018,PHI,CHI,21800014,144,1,1,2019,Mid-Range,Left Side,L,8-16 ft.,-93,76,55,12,TRUE,FALSE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Missed Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,148,1,1,2019,Mid-Range,Center,C,16-24 ft.,35,157,28,16,TRUE,FALSE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Made Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,151,1,0,2019,Mid-Range,Center,C,16-24 ft.,-39,172,56,17,TRUE,TRUE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,154,1,0,2019,Above the Break 3,Center,C,24+ ft.,70,247,33,25,TRUE,FALSE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Missed Shot,Running Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,156,1,0,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-33,53,22,6,TRUE,FALSE
2018-19,1610612741,1627853,Shot Chart Detail,Ryan Arcidiacono,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,160,1,0,2019,Above the Break 3,Center,C,24+ ft.,-89,372,0,38,TRUE,FALSE
2018-19,1610612741,203953,Shot Chart Detail,Jabari Parker,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,168,2,11,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-237,106,37,25,TRUE,FALSE
2018-19,1610612741,203953,Shot Chart Detail,Jabari Parker,Chicago Bulls,Missed Shot,Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,172,2,10,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-141,121,55,18,TRUE,FALSE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Made Shot,Pullup Jump shot,3PT Field Goal,20181018,PHI,CHI,21800014,181,2,10,2019,Above the Break 3,Center,C,24+ ft.,-19,254,34,25,TRUE,TRUE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Missed Shot,Running Pull-Up Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,185,2,10,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-143,162,12,21,TRUE,FALSE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Made Shot,Turnaround Bank Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,189,2,9,2019,Restricted Area,Center,C,Less Than 8 ft.,32,18,47,3,TRUE,TRUE
2018-19,1610612741,1628469,Shot Chart Detail,Antonio Blakeney,Chicago Bulls,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,194,2,9,2019,Mid-Range,Left Side,L,8-16 ft.,-111,46,27,12,TRUE,FALSE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,197,2,9,2019,Above the Break 3,Center,C,24+ ft.,49,247,6,25,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,216,2,8,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-123,237,35,26,TRUE,FALSE
2018-19,1610612741,1628976,Shot Chart Detail,Wendell Carter Jr.,Chicago Bulls,Missed Shot,Jump Shot,2PT Field Goal,20181018,PHI,CHI,21800014,220,2,8,2019,Mid-Range,Left Side,L,8-16 ft.,-139,-13,10,13,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Made Shot,Jump Bank Shot,2PT Field Goal,20181018,PHI,CHI,21800014,224,2,7,2019,Restricted Area,Center,C,Less Than 8 ft.,18,2,40,1,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,229,2,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-103,242,16,26,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,233,2,6,2019,Above the Break 3,Center,C,24+ ft.,-63,251,53,25,TRUE,FALSE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Missed Shot,Driving Layup Shot,2PT Field Goal,20181018,PHI,CHI,21800014,252,2,6,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,0,57,4,5,TRUE,FALSE
2018-19,1610612741,1626171,Shot Chart Detail,Bobby Portis,Chicago Bulls,Missed Shot,Hook Shot,2PT Field Goal,20181018,PHI,CHI,21800014,255,2,6,2019,Restricted Area,Center,C,Less Than 8 ft.,22,21,1,3,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Made Shot,Dunk Shot,2PT Field Goal,20181018,PHI,CHI,21800014,257,2,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,7,58,0,TRUE,TRUE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Made Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,271,2,4,2019,Above the Break 3,Right Side Center,RC,24+ ft.,156,195,56,24,TRUE,TRUE
2018-19,1610612741,203953,Shot Chart Detail,Jabari Parker,Chicago Bulls,Made Shot,Dunk Shot,2PT Field Goal,20181018,PHI,CHI,21800014,275,2,4,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,2,33,0,TRUE,TRUE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Missed Shot,Driving Layup Shot,2PT Field Goal,20181018,PHI,CHI,21800014,290,2,3,2019,Restricted Area,Center,C,Less Than 8 ft.,-34,-15,47,3,TRUE,FALSE
2018-19,1610612741,203953,Shot Chart Detail,Jabari Parker,Chicago Bulls,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20181018,PHI,CHI,21800014,297,2,3,2019,In The Paint (Non-RA),Center,C,8-16 ft.,18,116,16,11,TRUE,FALSE
2018-19,1610612741,203897,Shot Chart Detail,Zach LaVine,Chicago Bulls,Missed Shot,Pullup Jump shot,2PT Field Goal,20181018,PHI,CHI,21800014,303,2,2,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-159,125,49,20,TRUE,FALSE
2018-19,1610612741,203200,Shot Chart Detail,Justin Holiday,Chicago Bulls,Missed Shot,Jump Shot,3PT Field Goal,20181018,PHI,CHI,21800014,310,2,2,2019,Above the Break 3,Right Side Center,RC,24+ ft.,89,248,24,26,TRUE,FALSE
