slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612739,201567,Shot Chart Detail,Kevin Love,Cleveland Cavaliers,Missed Shot,Jump Shot,2PT Field Goal,20181017,TOR,CLE,21800008,7,1,11,2019,Mid-Range,Left Side,L,8-16 ft.,-129,63,44,14,TRUE,FALSE
2018-19,1610612739,201567,Shot Chart Detail,Kevin Love,Cleveland Cavaliers,Missed Shot,Driving Floating Bank Jump Shot,2PT Field Goal,20181017,TOR,CLE,21800008,16,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,19,6,50,1,TRUE,FALSE
2018-19,1610612739,203918,Shot Chart Detail,Rodney Hood,Cleveland Cavaliers,Missed Shot,Jump Shot,3PT Field Goal,20181017,TOR,CLE,21800008,20,1,10,2019,Left Corner 3,Left Side,L,24+ ft.,-233,-12,37,23,TRUE,FALSE
2018-19,1610612739,201567,Shot Chart Detail,Kevin Love,Cleveland Cavaliers,Missed Shot,Jump Shot,3PT Field Goal,20181017,TOR,CLE,21800008,24,1,10,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-135,215,7,25,TRUE,FALSE
2018-19,1610612739,203918,Shot Chart Detail,Rodney Hood,Cleveland Cavaliers,Made Shot,Layup Shot,2PT Field Goal,20181017,TOR,CLE,21800008,26,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-19,4,0,1,TRUE,TRUE
2018-19,1610612739,203918,Shot Chart Detail,Rodney Hood,Cleveland Cavaliers,Made Shot,Driving Hook Shot,2PT Field Goal,20181017,TOR,CLE,21800008,32,1,9,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-11,47,34,4,TRUE,TRUE
2018-19,1610612739,203918,Shot Chart Detail,Rodney Hood,Cleveland Cavaliers,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,TOR,CLE,21800008,38,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-41,52,50,6,TRUE,FALSE
2018-19,1610612739,1626224,Shot Chart Detail,Cedi Osman,Cleveland Cavaliers,Missed Shot,Jump Shot,2PT Field Goal,20181017,TOR,CLE,21800008,40,1,8,2019,Mid-Range,Right Side,R,16-24 ft.,175,-2,46,17,TRUE,FALSE
2018-19,1610612739,202684,Shot Chart Detail,Tristan Thompson,Cleveland Cavaliers,Missed Shot,Layup Shot,2PT Field Goal,20181017,TOR,CLE,21800008,42,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,5,14,36,1,TRUE,FALSE
2018-19,1610612739,1626224,Shot Chart Detail,Cedi Osman,Cleveland Cavaliers,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,TOR,CLE,21800008,47,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,25,10,13,2,TRUE,FALSE
2018-19,1610612739,202684,Shot Chart Detail,Tristan Thompson,Cleveland Cavaliers,Missed Shot,Tip Layup Shot,2PT Field Goal,20181017,TOR,CLE,21800008,49,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,10,0,TRUE,FALSE
