slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612765,203083,Shot Chart Detail,Andre Drummond,Detroit Pistons,Missed Shot,Jump Shot,2PT Field Goal,20181017,DET,BKN,21800004,16,1,11,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-73,174,19,18,TRUE,FALSE
2018-19,1610612765,1628379,Shot Chart Detail,Luke Kennard,Detroit Pistons,Missed Shot,Jump Shot,2PT Field Goal,20181017,DET,BKN,21800004,21,1,10,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-89,191,59,21,TRUE,FALSE
2018-19,1610612765,202704,Shot Chart Detail,Reggie Jackson,Detroit Pistons,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,39,1,9,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,28,44,23,5,TRUE,FALSE
2018-19,1610612765,1628379,Shot Chart Detail,Luke Kennard,Detroit Pistons,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,45,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-18,23,54,2,TRUE,TRUE
2018-19,1610612765,1628379,Shot Chart Detail,Luke Kennard,Detroit Pistons,Missed Shot,Driving Hook Shot,2PT Field Goal,20181017,DET,BKN,21800004,49,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,38,56,34,6,TRUE,FALSE
2018-19,1610612765,202704,Shot Chart Detail,Reggie Jackson,Detroit Pistons,Made Shot,Floating Jump shot,2PT Field Goal,20181017,DET,BKN,21800004,62,1,7,2019,In The Paint (Non-RA),Center,C,8-16 ft.,13,83,49,8,TRUE,TRUE
2018-19,1610612765,201933,Shot Chart Detail,Blake Griffin,Detroit Pistons,Made Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,66,1,7,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,58,71,11,9,TRUE,TRUE
2018-19,1610612765,201933,Shot Chart Detail,Blake Griffin,Detroit Pistons,Missed Shot,Driving Dunk Shot,2PT Field Goal,20181017,DET,BKN,21800004,71,1,6,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,19,38,39,4,TRUE,FALSE
2018-19,1610612765,203083,Shot Chart Detail,Andre Drummond,Detroit Pistons,Missed Shot,Turnaround Hook Shot,2PT Field Goal,20181017,DET,BKN,21800004,79,1,5,2019,In The Paint (Non-RA),Center,C,8-16 ft.,14,81,55,8,TRUE,FALSE
2018-19,1610612765,203083,Shot Chart Detail,Andre Drummond,Detroit Pistons,Made Shot,Dunk Shot,2PT Field Goal,20181017,DET,BKN,21800004,82,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,8,20,29,2,TRUE,TRUE
2018-19,1610612765,202704,Shot Chart Detail,Reggie Jackson,Detroit Pistons,Made Shot,Jump Shot,3PT Field Goal,20181017,DET,BKN,21800004,95,1,4,2019,Above the Break 3,Center,C,24+ ft.,35,262,58,26,TRUE,TRUE
2018-19,1610612765,202704,Shot Chart Detail,Reggie Jackson,Detroit Pistons,Missed Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,106,1,3,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-20,36,55,4,TRUE,FALSE
2018-19,1610612765,203083,Shot Chart Detail,Andre Drummond,Detroit Pistons,Made Shot,Tip Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,108,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,46,0,TRUE,TRUE
2018-19,1610612765,203083,Shot Chart Detail,Andre Drummond,Detroit Pistons,Missed Shot,Jump Shot,2PT Field Goal,20181017,DET,BKN,21800004,191,1,2,2019,Mid-Range,Right Side,R,8-16 ft.,117,15,38,11,TRUE,FALSE
2018-19,1610612765,201933,Shot Chart Detail,Blake Griffin,Detroit Pistons,Made Shot,Layup Shot,2PT Field Goal,20181017,DET,BKN,21800004,122,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,0,34,6,3,TRUE,TRUE
2018-19,1610612765,204038,Shot Chart Detail,Langston Galloway,Detroit Pistons,Missed Shot,Jump Shot,3PT Field Goal,20181017,DET,BKN,21800004,125,1,1,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-131,227,43,26,TRUE,FALSE
