slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612744,201939,Shot Chart Detail,Stephen Curry,Golden State Warriors,Made Shot,Step Back Jump shot,3PT Field Goal,20181016,GSW,OKC,21800002,10,1,11,2019,Above the Break 3,Right Side Center,RC,24+ ft.,226,90,31,24,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Made Shot,Driving Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,16,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-7,17,57,1,TRUE,TRUE
2018-19,1610612744,1627745,Shot Chart Detail,Damian Jones,Golden State Warriors,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20181016,GSW,OKC,21800002,29,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,3,10,58,1,TRUE,TRUE
2018-19,1610612744,203110,Shot Chart Detail,Draymond Green,Golden State Warriors,Missed Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,38,1,9,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-166,231,29,28,TRUE,FALSE
2018-19,1610612744,202691,Shot Chart Detail,Klay Thompson,Golden State Warriors,Made Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,46,1,8,2019,Above the Break 3,Right Side Center,RC,24+ ft.,162,204,53,26,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Made Shot,Cutting Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,52,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,16,21,22,2,TRUE,TRUE
2018-19,1610612744,201939,Shot Chart Detail,Stephen Curry,Golden State Warriors,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181016,GSW,OKC,21800002,58,1,7,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2,63,57,6,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Missed Shot,Fadeaway Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,72,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-180,186,4,25,TRUE,FALSE
2018-19,1610612744,202691,Shot Chart Detail,Klay Thompson,Golden State Warriors,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,GSW,OKC,21800002,80,1,6,2019,Mid-Range,Center,C,16-24 ft.,8,199,33,19,TRUE,FALSE
2018-19,1610612744,1626172,Shot Chart Detail,Kevon Looney,Golden State Warriors,Made Shot,Cutting Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,88,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,6,23,13,2,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Missed Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,93,1,5,2019,Right Corner 3,Right Side,R,24+ ft.,227,52,48,23,TRUE,FALSE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Made Shot,Pullup Jump shot,2PT Field Goal,20181016,GSW,OKC,21800002,95,1,5,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-49,115,43,12,TRUE,TRUE
2018-19,1610612744,1627745,Shot Chart Detail,Damian Jones,Golden State Warriors,Missed Shot,Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,100,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,6,6,13,0,TRUE,FALSE
2018-19,1610612744,1626172,Shot Chart Detail,Kevon Looney,Golden State Warriors,Missed Shot,Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,103,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,5,18,7,1,TRUE,FALSE
2018-19,1610612744,2738,Shot Chart Detail,Andre Iguodala,Golden State Warriors,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,128,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,-11,13,22,1,TRUE,TRUE
2018-19,1610612744,201939,Shot Chart Detail,Stephen Curry,Golden State Warriors,Made Shot,Driving Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,131,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,5,29,46,2,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Made Shot,Fadeaway Jump Shot,2PT Field Goal,20181016,GSW,OKC,21800002,138,1,3,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-89,180,20,20,TRUE,TRUE
2018-19,1610612744,201939,Shot Chart Detail,Stephen Curry,Golden State Warriors,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,141,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,18,58,1,TRUE,FALSE
2018-19,1610612744,1626172,Shot Chart Detail,Kevon Looney,Golden State Warriors,Missed Shot,Tip Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,143,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,53,0,TRUE,FALSE
2018-19,1610612744,201939,Shot Chart Detail,Stephen Curry,Golden State Warriors,Made Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,145,1,2,2019,Left Corner 3,Left Side,L,24+ ft.,-228,8,49,22,TRUE,TRUE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,GSW,OKC,21800002,159,1,2,2019,Mid-Range,Center,C,16-24 ft.,-12,207,8,20,TRUE,FALSE
2018-19,1610612744,201142,Shot Chart Detail,Kevin Durant,Golden State Warriors,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20181016,GSW,OKC,21800002,169,1,1,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,33,27,19,4,TRUE,FALSE
2018-19,1610612744,203110,Shot Chart Detail,Draymond Green,Golden State Warriors,Missed Shot,Jump Shot,2PT Field Goal,20181016,GSW,OKC,21800002,174,1,0,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,4,59,47,5,TRUE,FALSE
2018-19,1610612744,202691,Shot Chart Detail,Klay Thompson,Golden State Warriors,Made Shot,Jump Shot,2PT Field Goal,20181016,GSW,OKC,21800002,196,2,11,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,9,58,21,5,TRUE,TRUE
