slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612745,201935,Shot Chart Detail,James Harden,Houston Rockets,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,HOU,NOP,21800009,11,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,3,12,17,1,TRUE,FALSE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Missed Shot,Hook Shot,2PT Field Goal,20181017,HOU,NOP,21800009,14,1,10,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,33,28,46,4,TRUE,FALSE
2018-19,1610612745,200782,Shot Chart Detail,PJ Tucker,Houston Rockets,Missed Shot,Jump Shot,3PT Field Goal,20181017,HOU,NOP,21800009,19,1,10,2019,Right Corner 3,Right Side,R,24+ ft.,221,6,22,22,TRUE,FALSE
2018-19,1610612745,101108,Shot Chart Detail,Chris Paul,Houston Rockets,Made Shot,Pullup Jump shot,3PT Field Goal,20181017,HOU,NOP,21800009,21,1,10,2019,Above the Break 3,Right Side Center,RC,24+ ft.,122,225,8,25,TRUE,TRUE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Missed Shot,Dunk Shot,2PT Field Goal,20181017,HOU,NOP,21800009,24,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-12,16,44,2,TRUE,FALSE
2018-19,1610612745,201935,Shot Chart Detail,James Harden,Houston Rockets,Missed Shot,Step Back Jump shot,3PT Field Goal,20181017,HOU,NOP,21800009,28,1,9,2019,Above the Break 3,Center,C,24+ ft.,-61,264,33,27,TRUE,FALSE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Missed Shot,Jump Shot,2PT Field Goal,20181017,HOU,NOP,21800009,37,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-2,58,57,5,TRUE,FALSE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Missed Shot,Tip Layup Shot,2PT Field Goal,20181017,HOU,NOP,21800009,39,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,55,0,TRUE,FALSE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20181017,HOU,NOP,21800009,51,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,15,11,1,TRUE,TRUE
2018-19,1610612745,201935,Shot Chart Detail,James Harden,Houston Rockets,Missed Shot,Step Back Jump shot,3PT Field Goal,20181017,HOU,NOP,21800009,55,1,7,2019,Above the Break 3,Center,C,24+ ft.,-1,259,51,25,TRUE,FALSE
2018-19,1610612745,200782,Shot Chart Detail,PJ Tucker,Houston Rockets,Missed Shot,Jump Shot,3PT Field Goal,20181017,HOU,NOP,21800009,57,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-112,230,35,25,TRUE,FALSE
2018-19,1610612745,203516,Shot Chart Detail,James Ennis III,Houston Rockets,Made Shot,Cutting Dunk Shot,2PT Field Goal,20181017,HOU,NOP,21800009,70,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,12,43,1,TRUE,TRUE
2018-19,1610612745,203991,Shot Chart Detail,Clint Capela,Houston Rockets,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20181017,HOU,NOP,21800009,79,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,8,16,2,1,TRUE,TRUE
2018-19,1610612745,2546,Shot Chart Detail,Carmelo Anthony,Houston Rockets,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,HOU,NOP,21800009,88,1,5,2019,Mid-Range,Right Side Center,RC,16-24 ft.,156,172,37,23,TRUE,TRUE
2018-19,1610612745,2546,Shot Chart Detail,Carmelo Anthony,Houston Rockets,Made Shot,Jump Shot,3PT Field Goal,20181017,HOU,NOP,21800009,91,1,5,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-123,218,12,25,TRUE,TRUE
