slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612754,202711,Shot Chart Detail,Bojan Bogdanovic,Indiana Pacers,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,11,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,15,83,19,8,TRUE,TRUE
2018-19,1610612754,201152,Shot Chart Detail,Thaddeus Young,Indiana Pacers,Missed Shot,Jump Shot,3PT Field Goal,20181017,IND,MEM,21800005,19,1,10,2019,Right Corner 3,Right Side,R,24+ ft.,230,43,21,23,TRUE,FALSE
2018-19,1610612754,203506,Shot Chart Detail,Victor Oladipo,Indiana Pacers,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,IND,MEM,21800005,26,1,9,2019,Mid-Range,Center,C,16-24 ft.,53,189,41,19,TRUE,FALSE
2018-19,1610612754,202711,Shot Chart Detail,Bojan Bogdanovic,Indiana Pacers,Made Shot,Step Back Jump shot,2PT Field Goal,20181017,IND,MEM,21800005,29,1,9,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-116,144,35,18,TRUE,TRUE
2018-19,1610612754,202711,Shot Chart Detail,Bojan Bogdanovic,Indiana Pacers,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,35,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-16,-1,59,1,TRUE,TRUE
2018-19,1610612754,203506,Shot Chart Detail,Victor Oladipo,Indiana Pacers,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,IND,MEM,21800005,46,1,8,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-100,243,19,26,TRUE,FALSE
2018-19,1610612754,1626167,Shot Chart Detail,Myles Turner,Indiana Pacers,Missed Shot,Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,55,1,7,2019,Mid-Range,Center,C,16-24 ft.,-62,193,18,20,TRUE,FALSE
2018-19,1610612754,1626167,Shot Chart Detail,Myles Turner,Indiana Pacers,Made Shot,Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,59,1,6,2019,Mid-Range,Right Side Center,RC,16-24 ft.,125,175,50,21,TRUE,TRUE
2018-19,1610612754,202711,Shot Chart Detail,Bojan Bogdanovic,Indiana Pacers,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,62,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,5,24,0,TRUE,TRUE
2018-19,1610612754,201954,Shot Chart Detail,Darren Collison,Indiana Pacers,Missed Shot,Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,69,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,6,-11,34,1,TRUE,FALSE
2018-19,1610612754,1626167,Shot Chart Detail,Myles Turner,Indiana Pacers,Missed Shot,Putback Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,71,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,13,32,1,TRUE,FALSE
2018-19,1610612754,1626167,Shot Chart Detail,Myles Turner,Indiana Pacers,Made Shot,Putback Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,73,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,31,0,TRUE,TRUE
2018-19,1610612754,1626167,Shot Chart Detail,Myles Turner,Indiana Pacers,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,96,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,3,2,8,0,TRUE,TRUE
2018-19,1610612754,1627734,Shot Chart Detail,Domantas Sabonis,Indiana Pacers,Made Shot,Cutting Dunk Shot,2PT Field Goal,20181017,IND,MEM,21800005,121,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,2,12,27,1,TRUE,TRUE
2018-19,1610612754,1627734,Shot Chart Detail,Domantas Sabonis,Indiana Pacers,Missed Shot,Cutting Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,124,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,-1,21,44,2,TRUE,FALSE
2018-19,1610612754,1627734,Shot Chart Detail,Domantas Sabonis,Indiana Pacers,Made Shot,Hook Shot,2PT Field Goal,20181017,IND,MEM,21800005,137,1,2,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-28,44,15,5,TRUE,TRUE
