slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612746,201568,Shot Chart Detail,Danilo Gallinari,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20181017,LAC,DEN,21800012,7,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-51,115,46,12,TRUE,FALSE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,15,1,10,2019,Left Corner 3,Left Side,L,24+ ft.,-225,68,41,23,TRUE,TRUE
2018-19,1610612746,201976,Shot Chart Detail,Patrick Beverley,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,19,1,10,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-223,104,4,24,TRUE,FALSE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Missed Shot,Jump Shot,2PT Field Goal,20181017,LAC,DEN,21800012,23,1,9,2019,Mid-Range,Left Side,L,8-16 ft.,-116,73,42,13,TRUE,FALSE
2018-19,1610612746,201976,Shot Chart Detail,Patrick Beverley,LA Clippers,Missed Shot,Driving Hook Shot,2PT Field Goal,20181017,LAC,DEN,21800012,28,1,9,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,47,34,30,5,TRUE,FALSE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Made Shot,Running Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,33,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-11,9,10,1,TRUE,TRUE
2018-19,1610612746,202340,Shot Chart Detail,Avery Bradley,LA Clippers,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,LAC,DEN,21800012,41,1,8,2019,Mid-Range,Left Side,L,16-24 ft.,-141,101,18,17,TRUE,FALSE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,47,1,7,2019,Above the Break 3,Right Side Center,RC,24+ ft.,127,209,42,24,TRUE,FALSE
2018-19,1610612746,201568,Shot Chart Detail,Danilo Gallinari,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,51,1,7,2019,Above the Break 3,Center,C,24+ ft.,-73,237,4,24,TRUE,TRUE
2018-19,1610612746,202340,Shot Chart Detail,Avery Bradley,LA Clippers,Missed Shot,Floating Jump shot,2PT Field Goal,20181017,LAC,DEN,21800012,60,1,6,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-74,-1,27,7,TRUE,FALSE
2018-19,1610612746,101162,Shot Chart Detail,Marcin Gortat,LA Clippers,Made Shot,Turnaround Jump Shot,2PT Field Goal,20181017,LAC,DEN,21800012,68,1,6,2019,Mid-Range,Left Side,L,8-16 ft.,-117,34,1,12,TRUE,TRUE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Missed Shot,Floating Jump shot,2PT Field Goal,20181017,LAC,DEN,21800012,75,1,5,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-44,83,33,9,TRUE,FALSE
2018-19,1610612746,101150,Shot Chart Detail,Lou Williams,LA Clippers,Made Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,85,1,5,2019,Above the Break 3,Center,C,24+ ft.,84,283,13,29,TRUE,TRUE
2018-19,1610612746,201568,Shot Chart Detail,Danilo Gallinari,LA Clippers,Missed Shot,Jump Shot,3PT Field Goal,20181017,LAC,DEN,21800012,88,1,4,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-87,227,47,24,TRUE,FALSE
2018-19,1610612746,1626149,Shot Chart Detail,Montrezl Harrell,LA Clippers,Missed Shot,Reverse Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,93,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,19,6,9,1,TRUE,FALSE
2018-19,1610612746,202699,Shot Chart Detail,Tobias Harris,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,97,1,3,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,47,20,37,5,TRUE,FALSE
2018-19,1610612746,1626149,Shot Chart Detail,Montrezl Harrell,LA Clippers,Made Shot,Putback Dunk Shot,2PT Field Goal,20181017,LAC,DEN,21800012,100,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,34,0,TRUE,TRUE
2018-19,1610612746,1628983,Shot Chart Detail,Shai Gilgeous-Alexander,LA Clippers,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,107,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,-13,3,6,1,TRUE,TRUE
2018-19,1610612746,1626149,Shot Chart Detail,Montrezl Harrell,LA Clippers,Made Shot,Hook Bank Shot,2PT Field Goal,20181017,LAC,DEN,21800012,118,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,0,27,32,2,TRUE,TRUE
2018-19,1610612746,1628983,Shot Chart Detail,Shai Gilgeous-Alexander,LA Clippers,Made Shot,Step Back Jump shot,2PT Field Goal,20181017,LAC,DEN,21800012,122,1,2,2019,Mid-Range,Center,C,16-24 ft.,-27,192,8,19,TRUE,TRUE
2018-19,1610612746,1626149,Shot Chart Detail,Montrezl Harrell,LA Clippers,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,154,1,0,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,17,38,21,4,TRUE,FALSE
2018-19,1610612746,101150,Shot Chart Detail,Lou Williams,LA Clippers,Missed Shot,Layup Shot,2PT Field Goal,20181017,LAC,DEN,21800012,166,2,11,2019,Restricted Area,Center,C,Less Than 8 ft.,1,-2,40,0,TRUE,FALSE
