slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612763,202718,Shot Chart Detail,Chandler Parsons,Memphis Grizzlies,Missed Shot,Jump Shot,3PT Field Goal,20181017,IND,MEM,21800005,9,1,11,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-185,161,31,24,TRUE,FALSE
2018-19,1610612763,202066,Shot Chart Detail,Garrett Temple,Memphis Grizzlies,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,12,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,2,6,58,0,TRUE,FALSE
2018-19,1610612763,201188,Shot Chart Detail,Marc Gasol,Memphis Grizzlies,Missed Shot,Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,17,1,10,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,78,129,34,15,TRUE,FALSE
2018-19,1610612763,203210,Shot Chart Detail,JaMychal Green,Memphis Grizzlies,Made Shot,Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,24,1,9,2019,Mid-Range,Left Side,L,16-24 ft.,-200,-12,56,20,TRUE,TRUE
2018-19,1610612763,202066,Shot Chart Detail,Garrett Temple,Memphis Grizzlies,Missed Shot,Jump Shot,3PT Field Goal,20181017,IND,MEM,21800005,32,1,9,2019,Above the Break 3,Center,C,24+ ft.,-16,258,13,25,TRUE,FALSE
2018-19,1610612763,201144,Shot Chart Detail,Mike Conley,Memphis Grizzlies,Made Shot,Reverse Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,38,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-8,1,47,0,TRUE,TRUE
2018-19,1610612763,201144,Shot Chart Detail,Mike Conley,Memphis Grizzlies,Missed Shot,Step Back Jump shot,2PT Field Goal,20181017,IND,MEM,21800005,44,1,8,2019,Mid-Range,Left Side,L,8-16 ft.,-118,61,26,13,TRUE,FALSE
2018-19,1610612763,201188,Shot Chart Detail,Marc Gasol,Memphis Grizzlies,Missed Shot,Turnaround Hook Shot,2PT Field Goal,20181017,IND,MEM,21800005,48,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-4,48,6,4,TRUE,FALSE
2018-19,1610612763,202066,Shot Chart Detail,Garrett Temple,Memphis Grizzlies,Missed Shot,Step Back Jump shot,3PT Field Goal,20181017,IND,MEM,21800005,53,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-161,213,38,26,TRUE,FALSE
2018-19,1610612763,202718,Shot Chart Detail,Chandler Parsons,Memphis Grizzlies,Made Shot,Turnaround Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,57,1,7,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-75,162,5,17,TRUE,TRUE
2018-19,1610612763,202718,Shot Chart Detail,Chandler Parsons,Memphis Grizzlies,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,61,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,7,16,34,1,TRUE,TRUE
2018-19,1610612763,201188,Shot Chart Detail,Marc Gasol,Memphis Grizzlies,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,64,1,5,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-46,10,56,4,TRUE,FALSE
2018-19,1610612763,201188,Shot Chart Detail,Marc Gasol,Memphis Grizzlies,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,67,1,5,2019,Mid-Range,Left Side,L,8-16 ft.,-123,4,49,12,TRUE,FALSE
2018-19,1610612763,201144,Shot Chart Detail,Mike Conley,Memphis Grizzlies,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,75,1,5,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5,45,18,4,TRUE,FALSE
2018-19,1610612763,202066,Shot Chart Detail,Garrett Temple,Memphis Grizzlies,Missed Shot,Floating Jump shot,2PT Field Goal,20181017,IND,MEM,21800005,90,1,4,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,11,58,24,5,TRUE,FALSE
2018-19,1610612763,201144,Shot Chart Detail,Mike Conley,Memphis Grizzlies,Missed Shot,Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,99,1,3,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,29,64,52,7,TRUE,FALSE
2018-19,1610612763,203937,Shot Chart Detail,Kyle Anderson,Memphis Grizzlies,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,IND,MEM,21800005,123,1,3,2019,Mid-Range,Left Side,L,8-16 ft.,-114,17,3,11,TRUE,TRUE
2018-19,1610612763,1628415,Shot Chart Detail,Dillon Brooks,Memphis Grizzlies,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,IND,MEM,21800005,135,1,2,2019,In The Paint (Non-RA),Center,C,8-16 ft.,7,99,24,9,TRUE,FALSE
2018-19,1610612763,203210,Shot Chart Detail,JaMychal Green,Memphis Grizzlies,Made Shot,Jump Shot,3PT Field Goal,20181017,IND,MEM,21800005,145,1,2,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-161,216,4,26,TRUE,TRUE
2018-19,1610612763,203210,Shot Chart Detail,JaMychal Green,Memphis Grizzlies,Missed Shot,Jump Shot,3PT Field Goal,20181017,IND,MEM,21800005,148,1,1,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-157,239,37,28,TRUE,FALSE
2018-19,1610612763,203210,Shot Chart Detail,JaMychal Green,Memphis Grizzlies,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,IND,MEM,21800005,152,1,1,2019,Restricted Area,Center,C,Less Than 8 ft.,3,17,9,1,TRUE,FALSE
