slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612748,203585,Shot Chart Detail,Rodney McGruder,Miami Heat,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,ORL,MIA,21800006,74,1,11,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,58,37,45,6,TRUE,FALSE
2018-19,1610612748,1626196,Shot Chart Detail,Josh Richardson,Miami Heat,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,ORL,MIA,21800006,11,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,-29,27,21,3,TRUE,TRUE
2018-19,1610612748,202355,Shot Chart Detail,Hassan Whiteside,Miami Heat,Made Shot,Jump Shot,2PT Field Goal,20181017,ORL,MIA,21800006,15,1,10,2019,In The Paint (Non-RA),Left Side,L,8-16 ft.,-67,90,44,11,TRUE,TRUE
2018-19,1610612748,202355,Shot Chart Detail,Hassan Whiteside,Miami Heat,Made Shot,Cutting Dunk Shot,2PT Field Goal,20181017,ORL,MIA,21800006,20,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,5,6,0,TRUE,TRUE
2018-19,1610612748,201609,Shot Chart Detail,Goran Dragic,Miami Heat,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,ORL,MIA,21800006,30,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-14,20,22,2,TRUE,TRUE
2018-19,1610612748,1626196,Shot Chart Detail,Josh Richardson,Miami Heat,Missed Shot,Jump Shot,3PT Field Goal,20181017,ORL,MIA,21800006,37,1,8,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-150,211,56,25,TRUE,FALSE
2018-19,1610612748,201609,Shot Chart Detail,Goran Dragic,Miami Heat,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,ORL,MIA,21800006,40,1,8,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-18,105,37,10,TRUE,TRUE
2018-19,1610612748,1627884,Shot Chart Detail,Derrick Jones Jr.,Miami Heat,Missed Shot,Jump Shot,3PT Field Goal,20181017,ORL,MIA,21800006,55,1,8,2019,Left Corner 3,Left Side,L,24+ ft.,-224,42,2,22,TRUE,FALSE
2018-19,1610612748,201609,Shot Chart Detail,Goran Dragic,Miami Heat,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,ORL,MIA,21800006,61,1,7,2019,Above the Break 3,Right Side Center,RC,24+ ft.,129,225,47,25,TRUE,FALSE
2018-19,1610612748,1627884,Shot Chart Detail,Derrick Jones Jr.,Miami Heat,Made Shot,Jump Shot,3PT Field Goal,20181017,ORL,MIA,21800006,69,1,7,2019,Above the Break 3,Right Side Center,RC,24+ ft.,152,196,6,24,TRUE,TRUE
2018-19,1610612748,202355,Shot Chart Detail,Hassan Whiteside,Miami Heat,Missed Shot,Alley Oop Dunk Shot,2PT Field Goal,20181017,ORL,MIA,21800006,82,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,6,38,0,TRUE,FALSE
2018-19,1610612748,202355,Shot Chart Detail,Hassan Whiteside,Miami Heat,Missed Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,20181017,ORL,MIA,21800006,84,1,6,2019,Mid-Range,Left Side,L,8-16 ft.,-148,28,29,15,TRUE,FALSE
2018-19,1610612748,201609,Shot Chart Detail,Goran Dragic,Miami Heat,Made Shot,Pullup Jump shot,3PT Field Goal,20181017,ORL,MIA,21800006,88,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,105,231,4,25,TRUE,TRUE
2018-19,1610612748,2548,Shot Chart Detail,Dwyane Wade,Miami Heat,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,ORL,MIA,21800006,100,1,5,2019,Mid-Range,Center,C,16-24 ft.,-17,163,6,16,TRUE,TRUE
2018-19,1610612748,1627884,Shot Chart Detail,Derrick Jones Jr.,Miami Heat,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,ORL,MIA,21800006,104,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,27,28,40,3,TRUE,FALSE
2018-19,1610612748,204020,Shot Chart Detail,Tyler Johnson,Miami Heat,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,ORL,MIA,21800006,108,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,-23,25,17,3,TRUE,TRUE
2018-19,1610612748,202355,Shot Chart Detail,Hassan Whiteside,Miami Heat,Missed Shot,Jump Shot,2PT Field Goal,20181017,ORL,MIA,21800006,111,1,3,2019,In The Paint (Non-RA),Center,C,8-16 ft.,36,113,55,11,TRUE,FALSE
