slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Turnaround Hook Shot,2PT Field Goal,20181017,CHA,MIL,21800003,7,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-5,88,47,8,TRUE,TRUE
2018-19,1610612749,203114,Shot Chart Detail,Khris Middleton,Milwaukee Bucks,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,CHA,MIL,21800003,14,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,20,116,31,11,TRUE,TRUE
2018-19,1610612749,1627763,Shot Chart Detail,Malcolm Brogdon,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,16,1,11,2019,Right Corner 3,Right Side,R,24+ ft.,228,42,2,23,TRUE,TRUE
2018-19,1610612749,202339,Shot Chart Detail,Eric Bledsoe,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,25,1,10,2019,Right Corner 3,Right Side,R,24+ ft.,222,39,0,22,TRUE,TRUE
2018-19,1610612749,202339,Shot Chart Detail,Eric Bledsoe,Milwaukee Bucks,Made Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,29,1,9,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-133,226,37,26,TRUE,TRUE
2018-19,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,34,1,9,2019,Right Corner 3,Right Side,R,24+ ft.,230,26,11,23,TRUE,FALSE
2018-19,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,39,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-3,34,35,3,TRUE,FALSE
2018-19,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Made Shot,Dunk Shot,2PT Field Goal,20181017,CHA,MIL,21800003,55,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,6,10,52,1,TRUE,TRUE
2018-19,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,59,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-14,20,26,2,TRUE,FALSE
2018-19,1610612749,1627763,Shot Chart Detail,Malcolm Brogdon,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,63,1,7,2019,Above the Break 3,Right Side Center,RC,24+ ft.,102,233,12,25,TRUE,FALSE
2018-19,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Made Shot,Step Back Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,67,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,165,186,46,24,TRUE,TRUE
2018-19,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,70,1,6,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-131,235,19,26,TRUE,FALSE
2018-19,1610612749,201572,Shot Chart Detail,Brook Lopez,Milwaukee Bucks,Missed Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,72,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,81,246,12,25,TRUE,FALSE
2018-19,1610612749,101141,Shot Chart Detail,Ersan Ilyasova,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,100,1,4,2019,Above the Break 3,Center,C,24+ ft.,35,259,36,26,TRUE,TRUE
2018-19,1610612749,202339,Shot Chart Detail,Eric Bledsoe,Milwaukee Bucks,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,105,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,6,11,10,1,TRUE,TRUE
2018-19,1610612749,203114,Shot Chart Detail,Khris Middleton,Milwaukee Bucks,Made Shot,Pullup Jump shot,3PT Field Goal,20181017,CHA,MIL,21800003,109,1,3,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-114,237,49,26,TRUE,TRUE
2018-19,1610612749,203114,Shot Chart Detail,Khris Middleton,Milwaukee Bucks,Missed Shot,Running Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,117,1,3,2019,Restricted Area,Center,C,Less Than 8 ft.,-7,18,19,1,TRUE,FALSE
2018-19,1610612749,1627763,Shot Chart Detail,Malcolm Brogdon,Milwaukee Bucks,Made Shot,Floating Jump shot,2PT Field Goal,20181017,CHA,MIL,21800003,132,1,2,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-3,90,46,9,TRUE,TRUE
2018-19,1610612749,203507,Shot Chart Detail,Giannis Antetokounmpo,Milwaukee Bucks,Missed Shot,Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,150,1,0,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,36,33,53,4,TRUE,FALSE
2018-19,1610612749,203089,Shot Chart Detail,John Henson,Milwaukee Bucks,Missed Shot,Tip Layup Shot,2PT Field Goal,20181017,CHA,MIL,21800003,152,1,0,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,52,0,TRUE,FALSE
2018-19,1610612749,1628978,Shot Chart Detail,Donte DiVincenzo,Milwaukee Bucks,Made Shot,Jump Shot,3PT Field Goal,20181017,CHA,MIL,21800003,154,1,0,2019,Left Corner 3,Left Side,L,24+ ft.,-231,49,40,23,TRUE,TRUE
2018-19,1610612749,203089,Shot Chart Detail,John Henson,Milwaukee Bucks,Made Shot,Cutting Dunk Shot,2PT Field Goal,20181017,CHA,MIL,21800003,162,1,0,2019,Restricted Area,Center,C,Less Than 8 ft.,3,17,2,1,TRUE,TRUE
