slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,7,1,11,2019,Above the Break 3,Center,C,24+ ft.,3,253,46,25,TRUE,FALSE
2018-19,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,14,1,11,2019,Mid-Range,Right Side Center,RC,16-24 ft.,119,129,18,17,TRUE,FALSE
2018-19,1610612750,201952,Shot Chart Detail,Jeff Teague,Minnesota Timberwolves,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,26,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,32,6,2,3,TRUE,FALSE
2018-19,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,43,1,9,2019,Mid-Range,Right Side,R,8-16 ft.,155,-13,10,15,TRUE,TRUE
2018-19,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Made Shot,Running Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,49,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,2,17,19,1,TRUE,TRUE
2018-19,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,53,1,7,2019,Right Corner 3,Right Side,R,24+ ft.,235,83,41,24,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,66,1,6,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-107,135,53,17,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,74,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,25,14,27,2,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,87,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-4,15,51,1,TRUE,TRUE
2018-19,1610612750,1626157,Shot Chart Detail,Karl-Anthony Towns,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,91,1,5,2019,Mid-Range,Right Side,R,8-16 ft.,150,10,21,15,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Alley Oop Layup shot,2PT Field Goal,20181017,SAS,MIN,21800010,95,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,5,22,58,2,TRUE,TRUE
2018-19,1610612750,201952,Shot Chart Detail,Jeff Teague,Minnesota Timberwolves,Made Shot,Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,99,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,16,5,28,1,TRUE,TRUE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,104,1,3,2019,Mid-Range,Left Side,L,8-16 ft.,-131,25,50,13,TRUE,FALSE
2018-19,1610612750,1626157,Shot Chart Detail,Karl-Anthony Towns,Minnesota Timberwolves,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,20181017,SAS,MIN,21800010,119,1,3,2019,Mid-Range,Right Side,R,8-16 ft.,93,40,10,10,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,126,1,2,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-90,236,47,25,TRUE,TRUE
2018-19,1610612750,201565,Shot Chart Detail,Derrick Rose,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,130,1,2,2019,Above the Break 3,Center,C,24+ ft.,0,251,20,25,TRUE,FALSE
2018-19,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,134,1,1,2019,Restricted Area,Center,C,Less Than 8 ft.,17,11,59,2,TRUE,FALSE
2018-19,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,136,1,1,2019,Above the Break 3,Right Side Center,RC,24+ ft.,130,215,50,25,TRUE,TRUE
