slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612752,203501,Shot Chart Detail,Tim Hardaway Jr.,New York Knicks,Missed Shot,Jump Shot,3PT Field Goal,20181017,NYK,ATL,21800007,13,1,11,2019,Above the Break 3,Right Side Center,RC,24+ ft.,163,227,18,27,TRUE,FALSE
2018-19,1610612752,203501,Shot Chart Detail,Tim Hardaway Jr.,New York Knicks,Missed Shot,Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,17,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,-11,10,6,1,TRUE,FALSE
2018-19,1610612752,202683,Shot Chart Detail,Enes Kanter,New York Knicks,Missed Shot,Jump Shot,2PT Field Goal,20181017,NYK,ATL,21800007,21,1,10,2019,Mid-Range,Center,C,16-24 ft.,-45,191,58,19,TRUE,FALSE
2018-19,1610612752,203504,Shot Chart Detail,Trey Burke,New York Knicks,Missed Shot,Step Back Jump shot,2PT Field Goal,20181017,NYK,ATL,21800007,25,1,10,2019,Mid-Range,Right Side Center,RC,16-24 ft.,59,178,24,18,TRUE,FALSE
2018-19,1610612752,203504,Shot Chart Detail,Trey Burke,New York Knicks,Missed Shot,Floating Jump shot,2PT Field Goal,20181017,NYK,ATL,21800007,29,1,10,2019,In The Paint (Non-RA),Center,C,8-16 ft.,49,128,14,13,TRUE,FALSE
2018-19,1610612752,203501,Shot Chart Detail,Tim Hardaway Jr.,New York Knicks,Missed Shot,Step Back Jump shot,3PT Field Goal,20181017,NYK,ATL,21800007,41,1,9,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-197,146,39,24,TRUE,FALSE
2018-19,1610612752,203504,Shot Chart Detail,Trey Burke,New York Knicks,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,54,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,3,-6,40,0,TRUE,FALSE
2018-19,1610612752,202683,Shot Chart Detail,Enes Kanter,New York Knicks,Missed Shot,Tip Dunk Shot,2PT Field Goal,20181017,NYK,ATL,21800007,56,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,38,0,TRUE,FALSE
2018-19,1610612752,203501,Shot Chart Detail,Tim Hardaway Jr.,New York Knicks,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,NYK,ATL,21800007,63,1,8,2019,Mid-Range,Center,C,8-16 ft.,21,149,17,15,TRUE,FALSE
2018-19,1610612752,1628373,Shot Chart Detail,Frank Ntilikina,New York Knicks,Made Shot,Jump Shot,3PT Field Goal,20181017,NYK,ATL,21800007,67,1,7,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-130,223,52,25,TRUE,TRUE
2018-19,1610612752,1628373,Shot Chart Detail,Frank Ntilikina,New York Knicks,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,NYK,ATL,21800007,71,1,7,2019,Mid-Range,Center,C,16-24 ft.,52,163,22,17,TRUE,FALSE
2018-19,1610612752,203504,Shot Chart Detail,Trey Burke,New York Knicks,Made Shot,Running Layup Shot,2PT Field Goal,20181017,NYK,ATL,21800007,75,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,4,12,8,1,TRUE,TRUE
