slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612760,203500,Shot Chart Detail,Steven Adams,Oklahoma City Thunder,Missed Shot,Floating Jump shot,2PT Field Goal,20181016,GSW,OKC,21800002,12,1,11,2019,In The Paint (Non-RA),Center,C,8-16 ft.,1,120,13,12,TRUE,FALSE
2018-19,1610612760,202331,Shot Chart Detail,Paul George,Oklahoma City Thunder,Missed Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,14,1,11,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-140,218,7,25,TRUE,FALSE
2018-19,1610612760,203471,Shot Chart Detail,Dennis Schroder,Oklahoma City Thunder,Missed Shot,Step Back Jump shot,2PT Field Goal,20181016,GSW,OKC,21800002,17,1,10,2019,In The Paint (Non-RA),Center,C,8-16 ft.,67,125,38,14,TRUE,FALSE
2018-19,1610612760,203500,Shot Chart Detail,Steven Adams,Oklahoma City Thunder,Missed Shot,Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,19,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-22,27,23,3,TRUE,FALSE
2018-19,1610612760,202335,Shot Chart Detail,Patrick Patterson,Oklahoma City Thunder,Made Shot,Cutting Layup Shot,2PT Field Goal,20181016,GSW,OKC,21800002,24,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-14,14,8,1,TRUE,TRUE
2018-19,1610612760,202335,Shot Chart Detail,Patrick Patterson,Oklahoma City Thunder,Missed Shot,Turnaround Bank Hook Shot,2PT Field Goal,20181016,GSW,OKC,21800002,31,1,9,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,65,48,41,8,TRUE,FALSE
2018-19,1610612760,202335,Shot Chart Detail,Patrick Patterson,Oklahoma City Thunder,Missed Shot,Jump Shot,2PT Field Goal,20181016,GSW,OKC,21800002,40,1,9,2019,Mid-Range,Center,C,16-24 ft.,-8,161,12,16,TRUE,FALSE
2018-19,1610612760,203471,Shot Chart Detail,Dennis Schroder,Oklahoma City Thunder,Missed Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,60,1,7,2019,Above the Break 3,Center,C,24+ ft.,-76,245,45,25,TRUE,FALSE
2018-19,1610612760,202335,Shot Chart Detail,Patrick Patterson,Oklahoma City Thunder,Missed Shot,Jump Shot,3PT Field Goal,20181016,GSW,OKC,21800002,64,1,7,2019,Above the Break 3,Center,C,24+ ft.,-14,269,27,26,TRUE,FALSE
2018-19,1610612760,203471,Shot Chart Detail,Dennis Schroder,Oklahoma City Thunder,Made Shot,Pullup Jump shot,3PT Field Goal,20181016,GSW,OKC,21800002,74,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,187,163,47,24,TRUE,TRUE
