slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612755,203496,Shot Chart Detail,Robert Covington,Philadelphia 76ers,Missed Shot,Jump Shot,3PT Field Goal,20181016,BOS,PHI,21800001,7,1,11,2019,Above the Break 3,Center,C,24+ ft.,-53,264,40,26,TRUE,FALSE
2018-19,1610612755,203954,Shot Chart Detail,Joel Embiid,Philadelphia 76ers,Made Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,17,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-8,3,55,0,TRUE,TRUE
2018-19,1610612755,203967,Shot Chart Detail,Dario Saric,Philadelphia 76ers,Missed Shot,Pullup Jump shot,3PT Field Goal,20181016,BOS,PHI,21800001,21,1,10,2019,Above the Break 3,Right Side Center,RC,24+ ft.,177,193,32,26,TRUE,FALSE
2018-19,1610612755,203954,Shot Chart Detail,Joel Embiid,Philadelphia 76ers,Missed Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,25,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-9,21,15,2,TRUE,FALSE
2018-19,1610612755,1628365,Shot Chart Detail,Markelle Fultz,Philadelphia 76ers,Missed Shot,Running Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,29,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,5,19,58,1,TRUE,FALSE
2018-19,1610612755,203954,Shot Chart Detail,Joel Embiid,Philadelphia 76ers,Missed Shot,Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,32,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,-31,8,36,3,TRUE,FALSE
2018-19,1610612755,203954,Shot Chart Detail,Joel Embiid,Philadelphia 76ers,Missed Shot,Putback Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,35,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,32,0,TRUE,FALSE
2018-19,1610612755,1628365,Shot Chart Detail,Markelle Fultz,Philadelphia 76ers,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,42,1,9,2019,Mid-Range,Right Side Center,RC,16-24 ft.,58,161,1,17,TRUE,FALSE
2018-19,1610612755,203967,Shot Chart Detail,Dario Saric,Philadelphia 76ers,Made Shot,Cutting Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,44,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,13,21,53,2,TRUE,TRUE
2018-19,1610612755,203967,Shot Chart Detail,Dario Saric,Philadelphia 76ers,Made Shot,Driving Layup Shot,2PT Field Goal,20181016,BOS,PHI,21800001,50,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,41,15,15,4,TRUE,TRUE
2018-19,1610612755,203954,Shot Chart Detail,Joel Embiid,Philadelphia 76ers,Made Shot,Fadeaway Jump Shot,2PT Field Goal,20181016,BOS,PHI,21800001,55,1,7,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,78,119,41,14,TRUE,TRUE
2018-19,1610612755,203496,Shot Chart Detail,Robert Covington,Philadelphia 76ers,Missed Shot,Pullup Jump shot,3PT Field Goal,20181016,BOS,PHI,21800001,61,1,6,2019,Above the Break 3,Right Side Center,RC,24+ ft.,149,221,57,26,TRUE,FALSE
2018-19,1610612755,1627732,Shot Chart Detail,Ben Simmons,Philadelphia 76ers,Missed Shot,Jump Shot,2PT Field Goal,20181016,BOS,PHI,21800001,77,1,6,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-76,162,26,17,TRUE,FALSE
2018-19,1610612755,200755,Shot Chart Detail,JJ Redick,Philadelphia 76ers,Missed Shot,Pullup Jump shot,2PT Field Goal,20181016,BOS,PHI,21800001,89,1,5,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-92,174,25,19,TRUE,FALSE
