slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612756,1626164,Shot Chart Detail,Devin Booker,Phoenix Suns,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,PHX,DAL,21800013,9,1,11,2019,Above the Break 3,Center,C,24+ ft.,-20,253,26,25,TRUE,FALSE
2018-19,1610612756,1629028,Shot Chart Detail,Deandre Ayton,Phoenix Suns,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,PHX,DAL,21800013,13,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,-2,5,4,0,TRUE,TRUE
2018-19,1610612756,1629028,Shot Chart Detail,Deandre Ayton,Phoenix Suns,Made Shot,Jump Shot,2PT Field Goal,20181017,PHX,DAL,21800013,25,1,10,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-122,134,24,18,TRUE,TRUE
2018-19,1610612756,203477,Shot Chart Detail,Isaiah Canaan,Phoenix Suns,Made Shot,Pullup Jump shot,3PT Field Goal,20181017,PHX,DAL,21800013,33,1,9,2019,Above the Break 3,Center,C,24+ ft.,-50,252,36,25,TRUE,TRUE
2018-19,1610612756,1626164,Shot Chart Detail,Devin Booker,Phoenix Suns,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,PHX,DAL,21800013,40,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,8,0,7,0,TRUE,TRUE
2018-19,1610612756,1626164,Shot Chart Detail,Devin Booker,Phoenix Suns,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,20181017,PHX,DAL,21800013,48,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,5,1,32,0,TRUE,TRUE
2018-19,1610612756,2772,Shot Chart Detail,Trevor Ariza,Phoenix Suns,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,PHX,DAL,21800013,52,1,8,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-152,223,0,26,TRUE,FALSE
2018-19,1610612756,203477,Shot Chart Detail,Isaiah Canaan,Phoenix Suns,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,PHX,DAL,21800013,59,1,7,2019,Above the Break 3,Center,C,24+ ft.,5,256,21,25,TRUE,FALSE
2018-19,1610612756,1629028,Shot Chart Detail,Deandre Ayton,Phoenix Suns,Made Shot,Jump Shot,2PT Field Goal,20181017,PHX,DAL,21800013,65,1,6,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-98,175,43,20,TRUE,TRUE
2018-19,1610612756,2772,Shot Chart Detail,Trevor Ariza,Phoenix Suns,Made Shot,Jump Shot,3PT Field Goal,20181017,PHX,DAL,21800013,69,1,6,2019,Above the Break 3,Center,C,24+ ft.,-28,257,14,25,TRUE,TRUE
2018-19,1610612756,1626164,Shot Chart Detail,Devin Booker,Phoenix Suns,Made Shot,Running Layup Shot,2PT Field Goal,20181017,PHX,DAL,21800013,73,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,4,7,38,0,TRUE,TRUE
2018-19,1610612756,2772,Shot Chart Detail,Trevor Ariza,Phoenix Suns,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,PHX,DAL,21800013,76,1,5,2019,Restricted Area,Center,C,Less Than 8 ft.,5,4,7,0,TRUE,FALSE
2018-19,1610612756,2772,Shot Chart Detail,Trevor Ariza,Phoenix Suns,Made Shot,Jump Shot,3PT Field Goal,20181017,PHX,DAL,21800013,89,1,4,2019,Above the Break 3,Right Side Center,RC,24+ ft.,144,212,32,25,TRUE,TRUE
2018-19,1610612756,203477,Shot Chart Detail,Isaiah Canaan,Phoenix Suns,Missed Shot,Jump Shot,3PT Field Goal,20181017,PHX,DAL,21800013,110,1,3,2019,Above the Break 3,Center,C,24+ ft.,-11,259,40,25,TRUE,FALSE
