slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612758,1627741,Shot Chart Detail,Buddy Hield,Sacramento Kings,Made Shot,Jump Shot,2PT Field Goal,20181017,SAC,UTA,21800011,6,1,11,2019,Mid-Range,Center,C,16-24 ft.,37,207,27,21,TRUE,TRUE
2018-19,1610612758,1627812,Shot Chart Detail,Yogi Ferrell,Sacramento Kings,Missed Shot,Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,19,1,10,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,30,29,43,4,TRUE,FALSE
2018-19,1610612758,1626161,Shot Chart Detail,Willie Cauley-Stein,Sacramento Kings,Made Shot,Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,22,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,14,22,37,2,TRUE,TRUE
2018-19,1610612758,1628368,Shot Chart Detail,De'Aaron Fox,Sacramento Kings,Missed Shot,Driving Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,24,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,-18,33,18,3,TRUE,FALSE
2018-19,1610612758,202357,Shot Chart Detail,Nemanja Bjelica,Sacramento Kings,Made Shot,Jump Shot,3PT Field Goal,20181017,SAC,UTA,21800011,28,1,9,2019,Above the Break 3,Center,C,24+ ft.,-16,264,56,26,TRUE,TRUE
2018-19,1610612758,202357,Shot Chart Detail,Nemanja Bjelica,Sacramento Kings,Made Shot,Running Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,32,1,9,2019,Restricted Area,Center,C,Less Than 8 ft.,25,18,23,3,TRUE,TRUE
2018-19,1610612758,1627741,Shot Chart Detail,Buddy Hield,Sacramento Kings,Made Shot,Driving Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,42,1,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,5,50,37,5,TRUE,TRUE
2018-19,1610612758,1627741,Shot Chart Detail,Buddy Hield,Sacramento Kings,Made Shot,Jump Shot,2PT Field Goal,20181017,SAC,UTA,21800011,65,1,7,2019,Mid-Range,Center,C,8-16 ft.,-3,142,36,14,TRUE,TRUE
2018-19,1610612758,1626161,Shot Chart Detail,Willie Cauley-Stein,Sacramento Kings,Made Shot,Cutting Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,69,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,29,17,9,3,TRUE,TRUE
2018-19,1610612758,1626161,Shot Chart Detail,Willie Cauley-Stein,Sacramento Kings,Missed Shot,Jump Shot,2PT Field Goal,20181017,SAC,UTA,21800011,73,1,6,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,78,110,47,13,TRUE,FALSE
