slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20181017,SAS,MIN,21800010,9,1,11,2019,Mid-Range,Left Side,L,16-24 ft.,-143,91,35,16,TRUE,FALSE
2018-19,1610612759,200752,Shot Chart Detail,Rudy Gay,San Antonio Spurs,Made Shot,Floating Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,11,1,11,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-52,5,30,5,TRUE,TRUE
2018-19,1610612759,1627854,Shot Chart Detail,Bryn Forbes,San Antonio Spurs,Missed Shot,Pullup Jump shot,3PT Field Goal,20181017,SAS,MIN,21800010,16,1,10,2019,Above the Break 3,Right Side Center,RC,24+ ft.,111,233,56,25,TRUE,FALSE
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,19,1,10,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-32,58,34,6,TRUE,FALSE
2018-19,1610612759,200746,Shot Chart Detail,LaMarcus Aldridge,San Antonio Spurs,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,21,1,10,2019,Mid-Range,Right Side Center,RC,16-24 ft.,89,133,26,16,TRUE,FALSE
2018-19,1610612759,1627854,Shot Chart Detail,Bryn Forbes,San Antonio Spurs,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,25,1,10,2019,Mid-Range,Right Side,R,8-16 ft.,123,6,11,12,TRUE,TRUE
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Made Shot,Pullup Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,42,1,9,2019,Mid-Range,Right Side,R,8-16 ft.,86,95,27,12,TRUE,TRUE
2018-19,1610612759,1627751,Shot Chart Detail,Jakob Poeltl,San Antonio Spurs,Missed Shot,Hook Shot,2PT Field Goal,20181017,SAS,MIN,21800010,44,1,8,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,71,76,49,10,TRUE,FALSE
2018-19,1610612759,200746,Shot Chart Detail,LaMarcus Aldridge,San Antonio Spurs,Missed Shot,Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,47,1,8,2019,Mid-Range,Left Side,L,16-24 ft.,-164,83,27,18,TRUE,FALSE
2018-19,1610612759,200752,Shot Chart Detail,Rudy Gay,San Antonio Spurs,Made Shot,Turnaround Fadeaway shot,2PT Field Goal,20181017,SAS,MIN,21800010,52,1,7,2019,Mid-Range,Left Side,L,8-16 ft.,-105,92,57,13,TRUE,TRUE
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Missed Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,55,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,10,7,30,1,TRUE,FALSE
2018-19,1610612759,1627751,Shot Chart Detail,Jakob Poeltl,San Antonio Spurs,Made Shot,Tip Dunk Shot,2PT Field Goal,20181017,SAS,MIN,21800010,57,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,0,-6,25,0,TRUE,TRUE
2018-19,1610612759,200746,Shot Chart Detail,LaMarcus Aldridge,San Antonio Spurs,Missed Shot,Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,64,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-17,-5,4,1,TRUE,FALSE
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Made Shot,Running Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,72,1,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-9,4,38,0,TRUE,TRUE
2018-19,1610612759,2200,Shot Chart Detail,Pau Gasol,San Antonio Spurs,Made Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,80,1,6,2019,Above the Break 3,Center,C,24+ ft.,-22,248,5,24,TRUE,TRUE
2018-19,1610612759,201942,Shot Chart Detail,DeMar DeRozan,San Antonio Spurs,Missed Shot,Pullup Jump shot,2PT Field Goal,20181017,SAS,MIN,21800010,89,1,5,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-95,155,30,18,TRUE,FALSE
2018-19,1610612759,201988,Shot Chart Detail,Patty Mills,San Antonio Spurs,Made Shot,Jump Shot,3PT Field Goal,20181017,SAS,MIN,21800010,93,1,5,2019,Above the Break 3,Right Side Center,RC,24+ ft.,150,207,6,25,TRUE,TRUE
2018-19,1610612759,200746,Shot Chart Detail,LaMarcus Aldridge,San Antonio Spurs,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20181017,SAS,MIN,21800010,97,1,4,2019,Mid-Range,Left Side Center,LC,16-24 ft.,-60,168,40,17,TRUE,FALSE
2018-19,1610612759,2200,Shot Chart Detail,Pau Gasol,San Antonio Spurs,Missed Shot,Finger Roll Layup Shot,2PT Field Goal,20181017,SAS,MIN,21800010,100,1,4,2019,Restricted Area,Center,C,Less Than 8 ft.,9,4,8,0,TRUE,FALSE
