slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612762,1628378,Shot Chart Detail,Donovan Mitchell,Utah Jazz,Missed Shot,Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,4,1,11,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,27,31,47,4,TRUE,FALSE
2018-19,1610612762,201937,Shot Chart Detail,Ricky Rubio,Utah Jazz,Missed Shot,Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,17,1,10,2019,Restricted Area,Center,C,Less Than 8 ft.,16,22,52,2,TRUE,FALSE
2018-19,1610612762,201937,Shot Chart Detail,Ricky Rubio,Utah Jazz,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,SAC,UTA,21800011,30,1,9,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-36,135,31,13,TRUE,FALSE
2018-19,1610612762,204060,Shot Chart Detail,Joe Ingles,Utah Jazz,Made Shot,Running Dunk Shot,2PT Field Goal,20181017,SAC,UTA,21800011,41,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,-21,14,55,2,TRUE,TRUE
2018-19,1610612762,1628378,Shot Chart Detail,Donovan Mitchell,Utah Jazz,Missed Shot,Step Back Jump shot,2PT Field Goal,20181017,SAC,UTA,21800011,43,1,8,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-70,134,20,15,TRUE,FALSE
2018-19,1610612762,201937,Shot Chart Detail,Ricky Rubio,Utah Jazz,Missed Shot,Fadeaway Jump Shot,2PT Field Goal,20181017,SAC,UTA,21800011,89,1,7,2019,Mid-Range,Left Side,L,16-24 ft.,-162,34,49,16,TRUE,FALSE
2018-19,1610612762,204060,Shot Chart Detail,Joe Ingles,Utah Jazz,Missed Shot,Layup Shot,2PT Field Goal,20181017,SAC,UTA,21800011,66,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-33,14,21,3,TRUE,FALSE
2018-19,1610612762,203497,Shot Chart Detail,Rudy Gobert,Utah Jazz,Made Shot,Putback Dunk Shot,2PT Field Goal,20181017,SAC,UTA,21800011,68,1,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,14,14,1,TRUE,TRUE
2018-19,1610612762,1628378,Shot Chart Detail,Donovan Mitchell,Utah Jazz,Missed Shot,Jump Shot,3PT Field Goal,20181017,SAC,UTA,21800011,71,1,6,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-180,177,59,25,TRUE,FALSE
2018-19,1610612762,204060,Shot Chart Detail,Joe Ingles,Utah Jazz,Made Shot,Floating Jump shot,2PT Field Goal,20181017,SAC,UTA,21800011,78,1,6,2019,In The Paint (Non-RA),Center,C,8-16 ft.,11,126,7,12,TRUE,TRUE
