slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Driving Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,7,1,11,2019,Restricted Area,Center,C,Less Than 8 ft.,0,8,42,0,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Pullup Jump shot,3PT Field Goal,20181018,WAS,MIA,21800015,10,1,11,2019,Above the Break 3,Right Side Center,RC,24+ ft.,150,205,18,25,TRUE,TRUE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Missed Shot,Turnaround Hook Shot,2PT Field Goal,20181018,WAS,MIA,21800015,15,1,10,2019,In The Paint (Non-RA),Center,C,8-16 ft.,-52,96,48,10,TRUE,FALSE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Missed Shot,Pullup Jump shot,2PT Field Goal,20181018,WAS,MIA,21800015,18,1,10,2019,Mid-Range,Center,C,8-16 ft.,-43,153,12,15,TRUE,FALSE
2018-19,1610612764,203078,Shot Chart Detail,Bradley Beal,Washington Wizards,Made Shot,Pullup Jump shot,2PT Field Goal,20181018,WAS,MIA,21800015,24,1,9,2019,Mid-Range,Right Side,R,8-16 ft.,139,13,40,13,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,36,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,16,1,43,1,TRUE,TRUE
2018-19,1610612764,203078,Shot Chart Detail,Bradley Beal,Washington Wizards,Missed Shot,Driving Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,40,1,8,2019,Restricted Area,Center,C,Less Than 8 ft.,26,-5,24,2,TRUE,FALSE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,20181018,WAS,MIA,21800015,48,1,7,2019,In The Paint (Non-RA),Left Side,L,8-16 ft.,-76,122,53,14,TRUE,FALSE
2018-19,1610612764,203490,Shot Chart Detail,Otto Porter Jr.,Washington Wizards,Missed Shot,Pullup Jump shot,2PT Field Goal,20181018,WAS,MIA,21800015,63,1,7,2019,Mid-Range,Center,C,8-16 ft.,-11,152,13,15,TRUE,FALSE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,69,1,6,2019,Mid-Range,Right Side,R,8-16 ft.,95,67,36,11,TRUE,FALSE
2018-19,1610612764,101133,Shot Chart Detail,Ian Mahinmi,Washington Wizards,Made Shot,Hook Shot,2PT Field Goal,20181018,WAS,MIA,21800015,71,1,6,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-29,43,32,5,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Missed Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,74,1,6,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-209,155,4,26,TRUE,FALSE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Made Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,76,1,5,2019,Above the Break 3,Right Side Center,RC,24+ ft.,120,232,53,26,TRUE,TRUE
2018-19,1610612764,203078,Shot Chart Detail,Bradley Beal,Washington Wizards,Missed Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,83,1,5,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-114,238,16,26,TRUE,FALSE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Made Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,94,1,4,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-166,206,37,26,TRUE,TRUE
2018-19,1610612764,101133,Shot Chart Detail,Ian Mahinmi,Washington Wizards,Missed Shot,Hook Shot,2PT Field Goal,20181018,WAS,MIA,21800015,98,1,4,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,40,17,12,4,TRUE,FALSE
2018-19,1610612764,201145,Shot Chart Detail,Jeff Green,Washington Wizards,Missed Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,110,1,3,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-105,238,52,26,TRUE,FALSE
2018-19,1610612764,203078,Shot Chart Detail,Bradley Beal,Washington Wizards,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,119,1,3,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,43,26,29,5,TRUE,TRUE
2018-19,1610612764,203085,Shot Chart Detail,Austin Rivers,Washington Wizards,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,141,1,2,2019,Restricted Area,Center,C,Less Than 8 ft.,4,-1,21,0,TRUE,TRUE
2018-19,1610612764,1626162,Shot Chart Detail,Kelly Oubre Jr.,Washington Wizards,Missed Shot,Pullup Jump shot,3PT Field Goal,20181018,WAS,MIA,21800015,144,1,2,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-122,252,6,27,TRUE,FALSE
2018-19,1610612764,201145,Shot Chart Detail,Jeff Green,Washington Wizards,Missed Shot,Step Back Jump shot,2PT Field Goal,20181018,WAS,MIA,21800015,149,1,1,2019,Mid-Range,Left Side,L,8-16 ft.,-101,120,21,15,TRUE,FALSE
2018-19,1610612764,1626162,Shot Chart Detail,Kelly Oubre Jr.,Washington Wizards,Missed Shot,Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,160,1,0,2019,Left Corner 3,Left Side,L,24+ ft.,-234,11,28,23,TRUE,FALSE
2018-19,1610612764,201145,Shot Chart Detail,Jeff Green,Washington Wizards,Missed Shot,Running Pull-Up Jump Shot,3PT Field Goal,20181018,WAS,MIA,21800015,164,1,0,2019,Above the Break 3,Back Court,BC,Back Court Shot,64,401,0,40,TRUE,FALSE
2018-19,1610612764,201160,Shot Chart Detail,Jason Smith,Washington Wizards,Missed Shot,Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,178,2,11,2019,Mid-Range,Right Side,R,8-16 ft.,152,13,13,15,TRUE,FALSE
2018-19,1610612764,203085,Shot Chart Detail,Austin Rivers,Washington Wizards,Missed Shot,Step Back Jump shot,3PT Field Goal,20181018,WAS,MIA,21800015,182,2,10,2019,Above the Break 3,Left Side Center,LC,24+ ft.,-133,252,30,28,TRUE,FALSE
2018-19,1610612764,201160,Shot Chart Detail,Jason Smith,Washington Wizards,Made Shot,Cutting Dunk Shot,2PT Field Goal,20181018,WAS,MIA,21800015,188,2,9,2019,Restricted Area,Center,C,Less Than 8 ft.,18,10,52,2,TRUE,TRUE
2018-19,1610612764,203085,Shot Chart Detail,Austin Rivers,Washington Wizards,Made Shot,Cutting Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,204,2,8,2019,Restricted Area,Center,C,Less Than 8 ft.,5,2,52,0,TRUE,TRUE
2018-19,1610612764,203107,Shot Chart Detail,Tomas Satoransky,Washington Wizards,Missed Shot,Running Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,210,2,8,2019,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-3,67,10,6,TRUE,FALSE
2018-19,1610612764,201160,Shot Chart Detail,Jason Smith,Washington Wizards,Made Shot,Alley Oop Dunk Shot,2PT Field Goal,20181018,WAS,MIA,21800015,217,2,7,2019,Restricted Area,Center,C,Less Than 8 ft.,-6,-5,49,0,TRUE,TRUE
2018-19,1610612764,202693,Shot Chart Detail,Markieff Morris,Washington Wizards,Missed Shot,Cutting Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,236,2,7,2019,Restricted Area,Center,C,Less Than 8 ft.,20,33,19,3,TRUE,FALSE
2018-19,1610612764,203085,Shot Chart Detail,Austin Rivers,Washington Wizards,Made Shot,Driving Reverse Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,240,2,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-18,13,49,2,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Driving Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,254,2,6,2019,Restricted Area,Center,C,Less Than 8 ft.,-1,20,8,2,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,20181018,WAS,MIA,21800015,260,2,5,2019,Restricted Area,Center,C,Less Than 8 ft.,-5,-4,56,0,TRUE,TRUE
2018-19,1610612764,203085,Shot Chart Detail,Austin Rivers,Washington Wizards,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,273,2,5,2019,In The Paint (Non-RA),Center,C,8-16 ft.,36,74,22,8,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Driving Dunk Shot,2PT Field Goal,20181018,WAS,MIA,21800015,281,2,4,2019,Restricted Area,Center,C,Less Than 8 ft.,2,22,51,2,TRUE,TRUE
2018-19,1610612764,202322,Shot Chart Detail,John Wall,Washington Wizards,Made Shot,Turnaround Fadeaway Bank Jump Shot,2PT Field Goal,20181018,WAS,MIA,21800015,285,2,4,2019,In The Paint (Non-RA),Right Side,R,8-16 ft.,49,65,25,8,TRUE,TRUE
