slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Running Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,193,2,9,2018,Restricted Area,Center,C,Less Than 8 ft.,11,8,56,1,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Pullup Jump shot,2PT Field Goal,20171018,SAS,MIN,21700011,534,4,8,2018,Mid-Range,Right Side Center,RC,16-24 ft.,101,132,26,16,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Pullup Jump shot,2PT Field Goal,20171018,SAS,MIN,21700011,602,4,2,2018,In The Paint (Non-RA),Center,C,8-16 ft.,40,130,12,13,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20171020,MIN,UTA,21700023,197,2,6,2018,Above the Break 3,Right Side Center,RC,24+ ft.,174,172,10,24,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20171020,MIN,UTA,21700023,203,2,4,2018,Right Corner 3,Right Side,R,24+ ft.,233,-5,58,23,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Running Jump Shot,3PT Field Goal,20171024,MIN,IND,21700052,458,3,0,2018,Above the Break 3,Center,C,24+ ft.,-20,256,0,25,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Jump Bank Shot,2PT Field Goal,20171025,DET,MIN,21700056,137,1,0,2018,Mid-Range,Left Side,L,8-16 ft.,-95,-4,54,9,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20171025,DET,MIN,21700056,167,2,10,2018,Above the Break 3,Right Side Center,RC,24+ ft.,158,208,9,26,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171025,DET,MIN,21700056,514,4,9,2018,Mid-Range,Right Side,R,8-16 ft.,103,57,17,11,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Pullup Jump shot,2PT Field Goal,20171025,DET,MIN,21700056,529,4,8,2018,Mid-Range,Center,C,16-24 ft.,20,174,20,17,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20171027,MIN,OKC,21700074,168,1,0,2018,Backcourt,Back Court,BC,Back Court Shot,9,662,0,66,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171027,MIN,OKC,21700074,524,4,10,2018,In The Paint (Non-RA),Center,C,Less Than 8 ft.,55,36,48,6,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Driving Layup Shot,2PT Field Goal,20171030,MIA,MIN,21700093,171,2,9,2018,In The Paint (Non-RA),Center,C,Less Than 8 ft.,38,20,43,4,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171030,MIA,MIN,21700093,201,2,8,2018,Above the Break 3,Right Side Center,RC,24+ ft.,165,209,1,26,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Driving Layup Shot,2PT Field Goal,20171030,MIA,MIN,21700093,203,2,7,2018,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-34,29,33,4,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171030,MIA,MIN,21700093,496,4,10,2018,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-38,53,10,6,TRUE,FALSE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Driving Layup Shot,2PT Field Goal,20171101,NOP,MIN,21700113,540,4,8,2018,Restricted Area,Center,C,Less Than 8 ft.,-17,18,16,2,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171104,MIN,DAL,21700134,165,2,9,2018,Above the Break 3,Center,C,24+ ft.,25,240,56,24,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171104,MIN,DAL,21700134,172,2,9,2018,Above the Break 3,Left Side Center,LC,24+ ft.,-221,111,29,24,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171104,MIN,DAL,21700134,462,3,0,2018,Above the Break 3,Left Side Center,LC,24+ ft.,-119,225,6,25,TRUE,TRUE
2017-18,1610612750,1626145,Shot Chart Detail,Tyus Jones,Minnesota Timberwolves,Missed Shot,Running Jump Shot,2PT Field Goal,20171104,MIN,DAL,21700134,488,4,10,2018,In The Paint (Non-RA),Left Side,L,8-16 ft.,-76,79,40,10,TRUE,FALSE
