slugSeason,idTeam,idPlayer,typeGrid,namePlayer,nameTeam,typeEvent,typeAction,typeShot,dateGame,slugTeamHome,slugTeamAway,idGame,idEvent,numberPeriod,minutesRemaining,yearSeason,zoneBasic,nameZone,slugZone,zoneRange,locationX,locationY,secondsRemaining,distanceShot,isShotAttempted,isShotMade
2017-18,1610612750,1626157,Shot Chart Detail,Karl-Anthony Towns,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,10,1,11,2018,Mid-Range,Left Side Center,LC,16-24 ft.,-113,169,14,20,TRUE,FALSE
2017-18,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171018,SAS,MIN,21700011,12,1,11,2018,Above the Break 3,Right Side Center,RC,24+ ft.,199,152,9,25,TRUE,TRUE
2017-18,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,16,1,10,2018,Restricted Area,Center,C,Less Than 8 ft.,-11,6,32,1,TRUE,FALSE
2017-18,1610612750,201959,Shot Chart Detail,Taj Gibson,Minnesota Timberwolves,Missed Shot,Jump Shot,3PT Field Goal,20171018,SAS,MIN,21700011,21,1,10,2018,Left Corner 3,Left Side,L,24+ ft.,-225,16,21,22,TRUE,FALSE
2017-18,1610612750,201959,Shot Chart Detail,Taj Gibson,Minnesota Timberwolves,Missed Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,25,1,9,2018,Restricted Area,Center,C,Less Than 8 ft.,-16,-1,59,1,TRUE,FALSE
2017-18,1610612750,201959,Shot Chart Detail,Taj Gibson,Minnesota Timberwolves,Made Shot,Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,28,1,9,2018,Mid-Range,Right Side,R,8-16 ft.,154,4,51,15,TRUE,TRUE
2017-18,1610612750,1626157,Shot Chart Detail,Karl-Anthony Towns,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,31,1,9,2018,Mid-Range,Left Side Center,LC,16-24 ft.,-129,100,13,16,TRUE,FALSE
2017-18,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Made Shot,Pullup Jump shot,3PT Field Goal,20171018,SAS,MIN,21700011,41,1,8,2018,Above the Break 3,Right Side Center,RC,24+ ft.,166,185,19,24,TRUE,TRUE
2017-18,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Jump Shot,3PT Field Goal,20171018,SAS,MIN,21700011,48,1,7,2018,Above the Break 3,Right Side Center,RC,24+ ft.,104,260,57,28,TRUE,TRUE
2017-18,1610612750,201952,Shot Chart Detail,Jeff Teague,Minnesota Timberwolves,Missed Shot,Pullup Jump shot,3PT Field Goal,20171018,SAS,MIN,21700011,52,1,7,2018,Above the Break 3,Center,C,24+ ft.,70,250,33,25,TRUE,FALSE
2017-18,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Missed Shot,Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,57,1,7,2018,Mid-Range,Left Side Center,LC,16-24 ft.,-135,117,5,17,TRUE,FALSE
2017-18,1610612750,1626157,Shot Chart Detail,Karl-Anthony Towns,Minnesota Timberwolves,Made Shot,Driving Floating Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,64,1,6,2018,Restricted Area,Center,C,Less Than 8 ft.,1,24,35,2,TRUE,TRUE
2017-18,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Made Shot,Driving Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,68,1,6,2018,Restricted Area,Center,C,Less Than 8 ft.,-4,11,0,1,TRUE,TRUE
2017-18,1610612750,202710,Shot Chart Detail,Jimmy Butler,Minnesota Timberwolves,Missed Shot,Turnaround Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,87,1,4,2018,Mid-Range,Right Side,R,16-24 ft.,153,79,52,17,TRUE,FALSE
2017-18,1610612750,201952,Shot Chart Detail,Jeff Teague,Minnesota Timberwolves,Missed Shot,Step Back Jump shot,2PT Field Goal,20171018,SAS,MIN,21700011,94,1,4,2018,Mid-Range,Center,C,16-24 ft.,-51,205,19,21,TRUE,FALSE
2017-18,1610612750,201959,Shot Chart Detail,Taj Gibson,Minnesota Timberwolves,Missed Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,100,1,3,2018,Restricted Area,Center,C,Less Than 8 ft.,-9,8,40,1,TRUE,FALSE
2017-18,1610612750,203952,Shot Chart Detail,Andrew Wiggins,Minnesota Timberwolves,Made Shot,Cutting Dunk Shot,2PT Field Goal,20171018,SAS,MIN,21700011,103,1,3,2018,Restricted Area,Center,C,Less Than 8 ft.,-3,5,0,0,TRUE,TRUE
2017-18,1610612750,2037,Shot Chart Detail,Jamal Crawford,Minnesota Timberwolves,Made Shot,Pullup Jump shot,2PT Field Goal,20171018,SAS,MIN,21700011,122,1,1,2018,Mid-Range,Right Side,R,8-16 ft.,101,108,50,14,TRUE,TRUE
2017-18,1610612750,203476,Shot Chart Detail,Gorgui Dieng,Minnesota Timberwolves,Missed Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,128,1,1,2018,Restricted Area,Center,C,Less Than 8 ft.,-3,37,11,3,TRUE,FALSE
2017-18,1610612750,203476,Shot Chart Detail,Gorgui Dieng,Minnesota Timberwolves,Missed Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,151,1,1,2018,Restricted Area,Center,C,Less Than 8 ft.,0,4,11,0,TRUE,FALSE
2017-18,1610612750,201959,Shot Chart Detail,Taj Gibson,Minnesota Timberwolves,Made Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,135,1,0,2018,Restricted Area,Center,C,Less Than 8 ft.,-2,0,45,0,TRUE,TRUE
2017-18,1610612750,203476,Shot Chart Detail,Gorgui Dieng,Minnesota Timberwolves,Made Shot,Tip Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,147,1,0,2018,Restricted Area,Center,C,Less Than 8 ft.,0,-6,0,0,TRUE,TRUE
2017-18,1610612750,2037,Shot Chart Detail,Jamal Crawford,Minnesota Timberwolves,Missed Shot,Pullup Jump shot,2PT Field Goal,20171018,SAS,MIN,21700011,145,1,0,2018,Mid-Range,Left Side,L,8-16 ft.,-158,-20,0,15,TRUE,FALSE
2017-18,1610612750,203498,Shot Chart Detail,Shabazz Muhammad,Minnesota Timberwolves,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,20171018,SAS,MIN,21700011,169,2,11,2018,In The Paint (Non-RA),Center,C,Less Than 8 ft.,-31,51,18,5,TRUE,FALSE
2017-18,1610612750,203498,Shot Chart Detail,Shabazz Muhammad,Minnesota Timberwolves,Missed Shot,Layup Shot,2PT Field Goal,20171018,SAS,MIN,21700011,171,2,11,2018,Restricted Area,Center,C,Less Than 8 ft.,-5,14,12,1,TRUE,FALSE
